,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Toral,Toral
Secretaria,100, CONTRIBUIÇÃO  À UNDIME ,191,Contribuições,15001,"R$ 2.000,00",,,"R$ 162,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.838,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.838,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,196,Indenizações e Restituições Trabalhistas,1500,"R$ 0,00","R$ 10.355,80",,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 10.355,80","R$ 10.355,80","R$ 10.355,80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 10.355,80","R$ 10.355,80","R$ 10.355,80"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,198,Materiais de Consumo,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,201,Serviços de Terceiros PJ,1500,"R$ 3.000,00",,,"R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,204,Indenizações e restrições,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,192,Contratação por tempo Determinado,15001,"R$ 35.000,00",,,"R$ 30.184,41","R$ 2.656,88","R$ 2.656,88","R$ 2.269,40","R$ 2.158,71","R$ 2.158,71","R$ 2.203,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.815,59","R$ 4.815,59","R$ 4.472,40"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,193,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 380.000,00",,,"R$ 331.513,07","R$ 22.777,01","R$ 22.777,01","R$ 22.777,01","R$ 25.709,92","R$ 25.709,92","R$ 25.709,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 48.486,93","R$ 48.486,93","R$ 48.486,93"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,194,Obrigações Patronais,15001,"R$ 54.000,00",,,"R$ 45.880,17","R$ 4.025,06","R$ 4.025,06","R$ 0,00","R$ 4.094,77","R$ 4.094,77","R$ 4.025,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 8.119,83","R$ 8.119,83","R$ 4.025,06"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,195,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 2.000,00",,,"R$ 1.805,48","R$ 0,00","R$ 0,00","R$ 0,00","R$ 194,52","R$ 194,52","R$ 194,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 194,52","R$ 194,52","R$ 194,52"
