,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro
Secretaria ,126,Folha de Pagamento,1500,"R$ 5.000,00",,,"R$ 5.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretaria ,127,Folha de Pagamento,1500,"R$ 370.000,00",,,"R$ 370.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretaria ,128,Folha de Pagamento,1500,"R$ 45.000,00",,,"R$ 45.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretaria ,129,Folha de Pagamento,1500,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretaria ,130,Folha de Pagamento,1500,"R$ 10.000,00",,,"R$ 10.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretaria ,131,Folha de Pagamento,1500,"R$ 6.000,00",,,"R$ 6.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretaria ,132,Outros Benefícios Assistenciais do Servidor ou Militar,1500,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretaria ,133,Folha de Pagamento,1500,"R$ 5.000,00",,,"R$ 5.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretaria ,134,Materiais de Consumo,1500,"R$ 30.000,00",,,"R$ 30.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretaria ,135,Serviços de Terceiro PF ,1500,"R$ 15.000,00",,,"R$ 15.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretaria ,136,Serviços de Terceiros PJ,1500,"R$ 50.000,00",,,"R$ 50.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretaria ,137,Serviços de Tecnologia da Informação e Comunicação,1500,"R$ 15.000,00",,,"R$ 15.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretaria ,138,Sentenças Judiciais,1500,"R$ 50.000,00",,,"R$ 50.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretaria ,139,Equipamentos e Materiais Permanentes ,1500,"R$ 10.000,00",,,"R$ 10.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,140,Folha de Pagamento,1500,"R$ 250.000,00",,,"R$ 250.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,141,Folha de Pagamento,1500,"R$ 1.000.000,00",,,"R$ 1.000.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,142,Folha de Pagamento,1605,"R$ 77.000,00",,,"R$ 77.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,143,Folha de Pagamento,1500,"R$ 5.000,00",,,"R$ 5.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,144,Folha de Pagamento,1500,"R$ 11.000,00",,,"R$ 11.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,145,Folha de Pagamento,1500,"R$ 50.000,00",,,"R$ 50.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,146,Folha de Pagamento,1500,"R$ 150.000,00",,,"R$ 150.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,147,Outros Benefícios Assistenciais do Servidor ou Militar,1500,"R$ 5.000,00",,,"R$ 5.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,148,Folha de Pagamento,1500,"R$ 5.000,00",,,"R$ 5.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,149,Materiais de Consumo,1500,"R$ 50.000,00",,,"R$ 50.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,150,Serviços de Terceiros PJ,1500,"R$ 50.000,00",,,"R$ 50.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,151,Equipamentos e Materiais Permanentes ,1500,"R$ 20.000,00",,,"R$ 20.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consórcio,152,Rateio Participação em Consórcio público,1500,"R$ 11.000,00",,,"R$ 11.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consórcio,152,Rateio Participação em Consórcio público,1500,"R$ 200.000,00",,,"R$ 200.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consórcio,154,Rateio Participação em Consórcio público,1500,"R$ 2.000,00",,,"R$ 2.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,155,Subvenções Sociais ,1500,"R$ 150.000,00",,,"R$ 150.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,156,Folha de Pagamento,1500,"R$ 150.000,00",,,"R$ 150.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,157,Folha de Pagamento,1605,"R$ 10.000,00",,,"R$ 10.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,158,Folha de Pagamento,1500,"R$ 900.000,00",,,"R$ 900.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,159,Folha de Pagamento,1605,"R$ 95.000,00",,,"R$ 95.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,160,Folha de Pagamento,1500,"R$ 10.000,00",,,"R$ 10.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,161,Folha de Pagamento,1500,"R$ 55.000,00",,,"R$ 55.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,162,Folha de Pagamento,1500,"R$ 12.000,00",,,"R$ 12.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,163,Folha de Pagamento,1500,"R$ 140.000,00",,,"R$ 140.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,164,Outros Benefícios Assistenciais do Servidor ou Militar,1500,"R$ 5.000,00",,,"R$ 5.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,165,Folha de Pagamento,1500,"R$ 20.000,00",,,"R$ 20.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,166,Materiais de Consumo,1500,"R$ 115.000,00",,,"R$ 115.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,167,Outras Despesas de Pessoal decorrentes de Contratos,1500,"R$ 1.100.000,00",,,"R$ 1.100.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,168,Serviços de Terceiros PJ,1500,"R$ 55.000,00",,,"R$ 55.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,169,Equipamentos e Materiais Permanentes ,1500,"R$ 25.000,00",,,"R$ 25.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,170,Materiais de Consumo,1500,"R$ 500.000,00",,,"R$ 500.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,171,Serviços de Terceiros PJ,1500,"R$ 1.850.000,00",,,"R$ 1.850.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,172,Outros Auxílios  financeiros PF,1500,"R$ 500,00",,,"R$ 500,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,173,Folha de Pagamento,1500,"R$ 20.000,00",,,"R$ 20.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,174,Folha de Pagamento,1500,"R$ 550.000,00",,,"R$ 550.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,175,Folha de Pagamento,1500,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,176,Folha de Pagamento,1500,"R$ 70.000,00",,,"R$ 70.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,177,Folha de Pagamento,1500,"R$ 20.000,00",,,"R$ 20.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,178,Folha de Pagamento,1500,"R$ 75.000,00",,,"R$ 75.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,179,Outros Benefícios Assistenciais do Servidor ou Militar,1500,"R$ 5.000,00",,,"R$ 5.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,180,Folha de Pagamento,1500,"R$ 75.000,00",,,"R$ 75.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,181,Materiais de Consumo,1500,"R$ 70.000,00",,,"R$ 70.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,182,Serviços de Terceiros PJ,1500,"R$ 10.000,00",,,"R$ 10.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,183,Folha de Pagamento,1500,"R$ 35.000,00",,,"R$ 35.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,184,Folha de Pagamento,1500,"R$ 160.000,00",,,"R$ 160.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
