Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas
11180111000,Impostos,Propriedade Predial e Territorial Urbana - Principal ,"R$ 6.302,15","R$ 10.404,48",,,,,,,,,,,"R$ 16.706,63","R$ 3.000.000,00"
11180112000,Impostos,Propriedade Predial e Territorial Urbana - Multas e Juros ,"R$ 217,52","R$ 0,00",,,,,,,,,,,"R$ 217,52","R$ 1.000,00"
11180113000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa ,"R$ 8.804,17","R$ 12.156,31",,,,,,,,,,,"R$ 20.960,48","R$ 250.000,00"
11180114000,Impostos,Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros ,"R$ 2.603,16","R$ 4.530,78",,,,,,,,,,,"R$ 7.133,94","R$ 60.000,00"
11180141000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal ,"R$ 144.403,87","R$ 72.454,00",,,,,,,,,,,"R$ 216.857,87","R$ 900.000,00"
11180142000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 1.000,00"
11180143000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 500,00"
11180144000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 500,00"
11130311000,Impostos,Renda - Retido na Fonte - Trabalho - Principal ,"R$ 140.545,30","R$ 147.177,82",,,,,,,,,,,"R$ 287.723,12","R$ 2.500.000,00"
11130341000,Impostos,Renda - Retido na Fonte - Outros Rendimentos ,"R$ 25.169,14","R$ 26.817,26",,,,,,,,,,,"R$ 51.986,40","R$ 560.000,00"
11180231000,Impostos,Serviços de Qualquer Natureza - Principal ,"R$ 330.403,16","R$ 199.278,85",,,,,,,,,,,"R$ 529.682,01","R$ 2.600.000,00"
11180232000,Impostos,Serviços de Qualquer Natureza - Multas e Juros ,"R$ 3.237,56","R$ 2.345,17",,,,,,,,,,,"R$ 5.582,73","R$ 1.000,00"
11180233000,Impostos, Serviços de Qualquer Natureza - Dívida Ativa ,"R$ 5.055,21","R$ 169,73",,,,,,,,,,,"R$ 5.224,94","R$ 25.000,00"
11180234000,Impostos,Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros ,"R$ 697,28","R$ 45,83",,,,,,,,,,,"R$ 743,11","R$ 40.000,00"
17180121000,Cota-Parte ,Fundo de Participação dos Municípios - Cota Mensal - Principal ,"R$ 3.429.655,85","R$ 4.312.104,86",,,,,,,,,,,"R$ 7.741.760,71","R$ 41.233.000,00"
17180131000,Cota-Parte ,Fundo de Participação do Municípios – 1% Cota entregue no mês de dezembro - Principal ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 1.750.000,00"
17180141000,Cota-Parte ,Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho e setembro - Principal ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 1.750.000,00"
17180151000,Cota-Parte ,Imposto Sobre a Propriedade Territorial Rural - Principal,"R$ 586,06","R$ 1.242,52",,,,,,,,,,,"R$ 1.828,58","R$ 140.000,00"
17280111000,Cota-Parte ,ICMS - Principal ,"R$ 1.374.434,59","R$ 1.130.042,99",,,,,,,,,,,"R$ 2.504.477,58","R$ 16.000.000,00"
17280121000,Cota-Parte ,IPVA - Principal ,"R$ 815.188,31","R$ 2.103.357,56",,,,,,,,,,,"R$ 2.918.545,87","R$ 4.994.850,00"
17280131000,Cota-Parte ,IPI - Municípios - Principal ,"R$ 16.420,39","R$ 17.231,46",,,,,,,,,,,"R$ 33.651,85","R$ 200.000,00"
9517180121000,Dedução ,Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,"-R$ 685.931,14","-R$ 862.420,95",,,,,,,,,,,"-R$ 1.548.352,09","-R$ 8.246.600,00"
9517180151000,Dedução ,Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal ,"-R$ 117,20","-R$ 248,49",,,,,,,,,,,"-R$ 365,69","-R$ 28.000,00"
9517180611000,Dedução ,Transferência Financeira do ICMS – Desoneração – L.C. No 87/96 - Principal ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00"
9517280111000,Dedução ,Cota-Parte do ICMS - Principal ,"-R$ 274.886,89","-R$ 226.008,58",,,,,,,,,,,"-R$ 500.895,47","-R$ 3.200.000,00"
9517280121000,Dedução ,Cota-Parte do IPVA - Principal ,"-R$ 163.037,56","-R$ 420.671,41",,,,,,,,,,,"-R$ 583.708,97","-R$ 998.970,00"
9517280131000,Dedução ,Cota-Parte do IPI - Municípios - Principal,"-R$ 3.284,08","-R$ 3.446,30",,,,,,,,,,,"-R$ 6.730,38","-R$ 40.000,00"
17515001000,FUNDEB,Principal ,"R$ 1.035.737,63","R$ 1.210.917,53",,,,,,,,,,,"R$ 2.246.655,16","R$ 13.024.600,00"
13210111002,FUNDEB,Rendimentos ,"R$ 7.971,22","R$ 10.885,26",,,,,,,,,,,"R$ 18.856,48","R$ 105.000,00"
17155201000,FUNDEB,VAAR ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00"
17155301000,FUNDEB,ETI,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00"
17155200000,FUNDEB,VAAT,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00"
17145201000,Tranferência Programas Federais ,PNAE,"R$ 0,00","R$ 29.855,50",,,,,,,,,,,"R$ 29.855,50","R$ 205.000,00"
