,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total ,Total ,Total
Educação Infantil,1.065,CONSTRUCAO DE IMOVEIS PARA CRECHE MUNICIPAL,83,Obras e Instalações,1570,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.066,AQUISICAO DE IMOVEIS PARA CRECHE,84,Aquisição de Imóveis,15001,"R$ 10.000,00",,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.022,EMENDA IMPOSITIVA AQUISIÇÃO BRINQUEDOS PARA CRECHE MUNICIPAL,85,Materiais de Consumo,15001,"R$ 15.000,00",,,"R$ 15.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.047,MANUTENCAO DE CRECHES NO MUNICIPIO,86,Contratação por tempo Determinado,15001,"R$ 308.533,00",,,"R$ 184.607,83","R$ 28.934,80","R$ 28.934,80","R$ 28.934,80","R$ 29.329,04","R$ 29.329,04","R$ 29.329,04","R$ 33.403,69","R$ 33.403,69","R$ 33.403,69","R$ 32.257,64","R$ 32.257,64","R$ 32.257,64",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 123.925,17","R$ 123.925,17","R$ 123.925,17"
Educação Infantil,2.047,MANUTENCAO DE CRECHES NO MUNICIPIO,87,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 101.154,00",,,"R$ 67.901,60","R$ 7.545,86","R$ 7.545,86","R$ 7.545,86","R$ 8.939,02","R$ 8.939,02","R$ 8.939,02","R$ 8.990,90","R$ 8.990,90","R$ 8.990,90","R$ 7.776,62","R$ 7.776,62","R$ 7.776,62",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 33.252,40","R$ 33.252,40","R$ 33.252,40"
Educação Infantil,2.047,MANUTENCAO DE CRECHES NO MUNICIPIO,88,Obrigações Patronais,15001,"R$ 120.000,00",,,"R$ 106.913,55","R$ 3.017,38","R$ 0,00","R$ 0,00","R$ 3.627,68","R$ 6.645,06","R$ 3.220,00","R$ 3.249,11","R$ 3.249,11","R$ 3.830,30","R$ 3.192,28","R$ 3.192,28","R$ 3.181,57",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 13.086,45","R$ 13.086,45","R$ 10.231,87"
Educação Infantil,2.047,MANUTENCAO DE CRECHES NO MUNICIPIO,89,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.047,MANUTENCAO DE CRECHES NO MUNICIPIO,90,Indenizações e Restituições Trabalhistas,15001,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.047,MANUTENCAO DE CRECHES NO MUNICIPIO,91,Materiais de Consumo,15001,"R$ 7.000,00",,,"R$ 11,76","R$ 4.751,38","R$ 0,00","R$ 0,00","R$ 2.236,86","R$ 5.088,74","R$ 33,65","R$ 0,00","R$ 699,50","R$ 4.717,73","R$ 0,00","R$ 1.200,00","R$ 1.036,86",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.988,24","R$ 6.988,24","R$ 5.788,24"
Educação Infantil,2.047,MANUTENCAO DE CRECHES NO MUNICIPIO,92,Materiais de Consumo,1569,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.047,MANUTENCAO DE CRECHES NO MUNICIPIO,93,Serviços de Terceiro PF,15001,"R$ 15.000,00",,,"R$ 15.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.047,MANUTENCAO DE CRECHES NO MUNICIPIO,94,Serviços de Terceiros PJ,15001,"R$ 48.834,00",,,"R$ 44.834,00","R$ 4.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.018,08","R$ 1.018,08","R$ 0,00","R$ 754,06","R$ 754,06","R$ 0,00","R$ 1.147,63","R$ 1.147,63",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.000,00","R$ 2.919,77","R$ 2.919,77"
Educação Infantil,2.047,MANUTENCAO DE CRECHES NO MUNICIPIO,95,Serviços de Terceiros PJ,1569,"R$ 8.500,00",,,"R$ 8.500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.047,MANUTENCAO DE CRECHES NO MUNICIPIO,96,Auxílio-alimentação,15001,"R$ 41.976,00",,,"R$ 32.976,00","R$ 1.800,00","R$ 1.800,00","R$ 1.800,00","R$ 2.160,00","R$ 2.160,00","R$ 2.160,00","R$ 2.520,00","R$ 2.520,00","R$ 2.520,00","R$ 2.520,00","R$ 2.520,00","R$ 2.520,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.000,00","R$ 9.000,00","R$ 9.000,00"
Educação Infantil,2.047,MANUTENCAO DE CRECHES NO MUNICIPIO,97,Obras e Instalações,15001,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.047,MANUTENCAO DE CRECHES NO MUNICIPIO,98,Obras e Instalações,1569,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.047,MANUTENCAO DE CRECHES NO MUNICIPIO,99,Obras e Instalações,1570,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.049,MANUTENCAO DE CRECHES NO MUNICIPIO,100,Equipamentos e Materiais Permanentes,15001,"R$ 20.000,00",,,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.049,MANUTENCAO DE CRECHES NO MUNICIPIO,101,Equipamentos e Materiais Permanentes,15403,"R$ 33.000,00",,,"R$ 33.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.049,MANUTENCAO DE CRECHES NO MUNICIPIO,102,Equipamentos e Materiais Permanentes,1569,"R$ 29.957,00",,,"R$ 29.957,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.049,MANUTENCAO DE CRECHES NO MUNICIPIO,103,Equipamentos e Materiais Permanentes,1570,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.049,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,104,Contratação por tempo Determinado,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.049,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,105,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.049,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,106,Obrigações Patronais,15001,"R$ 500,00",,,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.049,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,107,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
