Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas,Repasse,2025,Atualização Quadrimestral,% Atualização 
11180111000,Impostos,Propriedade Predial e Territorial Urbana - Principal ,"R$ 2.025,28","R$ 0,00",,,,,,,,,,,"R$ 2.025,28","R$ 400.000,00",,,,
11180112000,Impostos,Propriedade Predial e Territorial Urbana - Multas e Juros ,"R$ 92,13","R$ 0,00",,,,,,,,,,,"R$ 92,13","R$ 6.203,00",,,,
11180113000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa ,"R$ 10.496,14","R$ 8.251,33",,,,,,,,,,,"R$ 18.747,47","R$ 141.000,00",,,,
11180114000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros ,"R$ 1.047,27","R$ 1.048,61",,,,,,,,,,,"R$ 2.095,88","R$ 20.000,00",,,,
11180141000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal ,"R$ 43.557,90","R$ 5.485,75",,,,,,,,,,,"R$ 49.043,65","R$ 586.000,00",,,,
11180142000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 1.000,00",,,,
11180143000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11180144000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11130311000,Impostos,Renda - Retido na Fonte - Trabalho - Principal ,"R$ 25.974,86","R$ 33.653,95",,,,,,,,,,,"R$ 59.628,81","R$ 568.000,00",,,,
11130341000,Impostos,Renda - Retido na Fonte - Outros Rendimentos ,"R$ 14.805,46","R$ 13.241,54",,,,,,,,,,,"R$ 28.047,00","R$ 220.000,00",,,,
11180231000,Impostos,Serviços de Qualquer Natureza - Principal ,"R$ 26.341,68","R$ 18.785,67",,,,,,,,,,,"R$ 45.127,35","R$ 200.000,00",,,,
11180232000,Impostos,Serviços de Qualquer Natureza - Multas e Juros ,"R$ 84,02","R$ 60,47",,,,,,,,,,,"R$ 144,49","R$ 4.000,00",,,,
11180233000,Impostos, Serviços de Qualquer Natureza - Dívida Ativa ,"R$ 253,40","R$ 247,99",,,,,,,,,,,"R$ 501,39","R$ 4.500,00",,,,
11180234000,Impostos,Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros ,"R$ 18,71","R$ 33,89",,,,,,,,,,,"R$ 52,60","R$ 1.000,00",,,,
17180121000,Cota-Parte ,Fundo de Participação dos Municípios - Cota Mensal - Principal ,"R$ 1.714.827,92","R$ 2.156.052,43",,,,,,,,,,,"R$ 3.870.880,35","R$ 20.000.000,00",,,,
17180131000,Cota-Parte ,Fundo de Participação do Municípios – 1% Cota entregue no mês de dezembro - Principal ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 1.250.000,00",,,,
17180141000,Cota-Parte ,Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho e setembro - Principal ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 1.250.000,00",,,,
17180151000,Cota-Parte ,Imposto Sobre a Propriedade Territorial Rural - Principal,"R$ 974,13","R$ 1.544,85",,,,,,,,,,,"R$ 2.518,98","R$ 12.000,00",,,,
17280111000,Cota-Parte ,ICMS - Principal ,"R$ 857.935,07","R$ 706.999,18",,,,,,,,,,,"R$ 1.564.934,25","R$ 12.600.000,00",,,,
17280121000,Cota-Parte ,IPVA - Principal ,"R$ 388.464,58","R$ 393.747,23",,,,,,,,,,,"R$ 782.211,81","R$ 1.200.000,00",,,,
17280131000,Cota-Parte ,IPI - Municípios - Principal ,"R$ 10.273,26","R$ 10.780,68",,,,,,,,,,,"R$ 21.053,94","R$ 125.000,00",,,,
9517180121000,Dedução FUNDEB,Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,"-R$ 343.022,72","-R$ 431.210,47",,,,,,,,,,,"-R$ 774.233,19","-R$ 4.000.000,00",,,,
9517180151000,Dedução FUNDEB,Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal ,"-R$ 137,66","-R$ 308,96",,,,,,,,,,,"-R$ 446,62","-R$ 2.400,00",,,,
9517180611000,Dedução FUNDEB,Transferência Financeira do ICMS – Desoneração – L.C. No 87/96 - Principal ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
9517280111000,Dedução FUNDEB,Cota-Parte do ICMS - Principal ,"-R$ 171.586,99","-R$ 141.399,82",,,,,,,,,,,"-R$ 312.986,81","-R$ 2.520.000,00",,,,
9517280121000,Dedução FUNDEB,Cota-Parte do IPVA - Principal ,"-R$ 77.692,82","-R$ 78.749,36",,,,,,,,,,,"-R$ 156.442,18","-R$ 240.000,00",,,,
9517280131000,Dedução FUNDEB,Cota-Parte do IPI - Municípios - Principal,"-R$ 2.054,65","-R$ 2.156,14",,,,,,,,,,,"-R$ 4.210,79","-R$ 25.000,00",,,,
17515001000,FUNDEB,Principal ,"R$ 355.502,87","R$ 416.218,09",,,,,,,,,,,"R$ 771.720,96","R$ 4.200.000,00","R$ 4.209.459,14","R$ 3.824.402,33","R$ 4.161.160,52","-1,15%"
13210111002,FUNDEB,Rendimentos ,"R$ 1.970,86","R$ 2.535,49",,,,,,,,,,,"R$ 4.506,35","R$ 39.500,00",,,,
17155201000,FUNDEB,VAAR ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 25.000,00",,,,
17155301000,FUNDEB,ETI,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17155200000,FUNDEB,VAAT,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17145201000,Tranferência Programas Federais ,PNAE,"R$ 0,00","R$ 10.085,75",,,,,,,,,,,"R$ 10.085,75","R$ 91.000,00","R$ 80.686,00","R$ 65.028,00",,
13210111016,Remunerações Bancárias,Rendimentos ,"R$ 13,24","R$ 11,48",,,,,,,,,,,"R$ 24,72","R$ 900,00",,,,
17145301000,Tranferência Programas Federais ,PNATE,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 42.035,00","R$ 64.405,48","R$ 57.687,08",,
13210111017,Remunerações Bancárias,Rendimentos ,"R$ 13,81","R$ 11,96",,,,,,,,,,,"R$ 25,77","R$ 896,00",,,,
17295201001,Tranferência Programas Estaduais,PTE,"R$ 0,00","R$ 62.661,06",,,,,,,,,,,"R$ 62.661,06",,"R$ 626.610,60",,,
13210111023,Remunerações Bancárias,Rendimentos ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 100,00",,,,
17145001000,Tranferência Programas Federais ,QESE,"R$ 41.015,65","R$ 24.905,37",,,,,,,,,,,"R$ 65.921,02","R$ 310.000,00","R$ 117.229,19","R$ 283.681,77",,
13210111015,Remunerações Bancárias,Rendimentos ,"R$ 996,56","R$ 614,48",,,,,,,,,,,"R$ 1.611,04","R$ 27.750,00",,,,
