,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,"R$ 0,00",Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Secretaria,2.056,MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO,239,Contratação por tempo Determinado,1500,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.056,MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO,240,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 90.000,00",,,"R$ 63.220,00","R$ 6.000,00","R$ 6.000,00","R$ 6.000,00","R$ 6.234,00","R$ 6.234,00","R$ 6.234,00","R$ 11.066,64","R$ 11.066,64","R$ 11.066,64","R$ 3.479,36","R$ 3.479,36","R$ 3.479,36",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 26.780,00","R$ 26.780,00","R$ 26.780,00"
Secretaria,2.056,MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO,241,Obrigações Patronais,15001,"R$ 15.000,00",,,"R$ 10.089,69","R$ 1.092,70","R$ 1.092,70","R$ 0,00","R$ 1.135,31","R$ 1.135,31","R$ 1.092,70","R$ 1.135,31","R$ 1.135,31","R$ 1.135,31","R$ 1.546,99","R$ 1.546,99","R$ 1.546,99",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.910,31","R$ 4.910,31","R$ 3.775,00"
Secretaria,2.056,MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO,242,Materiais de Consumo,15001,"R$ 50.000,00",,,"R$ 35.348,69","R$ 419,75","R$ 0,00","R$ 0,00","R$ 14.231,56","R$ 419,75","R$ 0,00","R$ 0,00","R$ 3.707,60","R$ 3.627,45","R$ 0,00","R$ 400,00","R$ 899,90",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 14.651,31","R$ 4.527,35","R$ 4.527,35"
Secretaria,2.056,MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO,243,Serviços de Terceiros PJ,15001,"R$ 0,00","R$ 51.000,00",,"R$ 748,41","R$ 0,00","R$ 0,00","R$ 0,00","R$ 39.960,00","R$ 0,00","R$ 0,00","R$ 4.291,59","R$ 3.640,74","R$ 3.640,74","R$ 6.000,00","R$ 9.050,09","R$ 1.135,31",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 50.251,59","R$ 12.690,83","R$ 4.776,05"
Secretaria,2.056,MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO,243,Serviços de Terceiros PJ,1709,"R$ 100.000,00",,,"R$ 44.429,08","R$ 55.570,92","R$ 918,00","R$ 918,00","R$ 0,00","R$ 4.682,36","R$ 4.682,36","R$ 0,00","R$ 511,80","R$ 511,80","R$ 0,00","R$ 8.852,92","R$ 4.682,36",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 55.570,92","R$ 14.965,08","R$ 10.794,52"
Secretaria,2.056,MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO,244,AUXÍLIO-ALIMENTAÇÃO,15001,"R$ 15.000,00",,,"R$ 11.700,00","R$ 750,00","R$ 750,00","R$ 750,00","R$ 850,00","R$ 850,00","R$ 850,00","R$ 850,00","R$ 850,00","R$ 850,00","R$ 850,00","R$ 850,00","R$ 850,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 3.300,00","R$ 3.300,00","R$ 3.300,00"
Ensino Fundamental,1.047,CONSTRUÇÃO,245,Obras e Instalações,1500,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.047,CONSTRUÇÃO,245,Obras e Instalações,1570,"R$ 600.000,00",,,"R$ 600.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.017,AQUISIÇÃO DE VEICULOS E EQUIPAMENTOS ESCOLARES,246,Equipamentos e Materiais Permanentes,15001,"R$ 350.000,00",,,"R$ 334.407,81","R$ 0,00","R$ 0,00","R$ 0,00","R$ 15.592,19","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.233,33","R$ 4.233,33","R$ 0,00","R$ 3.485,86","R$ 1.819,20",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 15.592,19","R$ 7.719,19","R$ 6.052,53"
Ensino Fundamental,1.017,AQUISIÇÃO DE VEICULOS E EQUIPAMENTOS ESCOLARES,246,Equipamentos e Materiais Permanentes,1540,"R$ 0,00","R$ 169.500,00",,"R$ 82,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 169.418,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 169.418,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.017,AQUISIÇÃO DE VEICULOS E EQUIPAMENTOS ESCOLARES,246,Equipamentos e Materiais Permanentes,2571,"R$ 0,00","R$ 671.000,00",,"R$ 78,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 670.922,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 670.922,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,247,Contratação por tempo Determinado,15001,"R$ 1.000,00","R$ 3.500,00",,"R$ 2.035,80","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.464,20","R$ 2.464,20","R$ 2.464,20",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.464,20","R$ 2.464,20","R$ 2.464,20"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,248,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 1.200.000,00",,"R$ 402.000,00","R$ 788.952,20","R$ 6.605,48","R$ 6.605,48","R$ 6.605,48","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.442,32","R$ 2.442,32","R$ 2.442,32",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.047,80","R$ 9.047,80","R$ 9.047,80"
