Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março ,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas,Repasse,2025,Atualização Quadrimestral,% Atualização 
11180111000,Impostos,Propriedade Predial e Territorial Urbana - Principal ,"R$ 647,99","R$ 0,00","R$ 463,73","R$ 0,00",,,,,,,,,"R$ 1.111,72","R$ 1.204.800,00",,,,
11180112000,Impostos,Propriedade Predial e Territorial Urbana - Multas e Juros ,"R$ 338,89","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 338,89","R$ 16.000,00",,,,
11180113000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa ,"R$ 21.726,91","R$ 21.951,55","R$ 45.366,28","R$ 65.286,65",,,,,,,,,"R$ 154.331,39","R$ 870.000,00",,,,
11180114000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros ,"R$ 5.565,25","R$ 8.529,17","R$ 15.965,84","R$ 8.969,14",,,,,,,,,"R$ 39.029,40","R$ 120.000,00",,,,
11180141000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal ,"R$ 99.717,84","R$ 103.685,05","R$ 193.670,93","R$ 167.927,94",,,,,,,,,"R$ 565.001,76","R$ 2.100.000,00",,,,
11180142000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11180143000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11180144000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11130311000,Impostos,Renda - Retido na Fonte - Trabalho - Principal ,"R$ 62.184,00","R$ 70.961,96","R$ 78.414,67","R$ 72.382,07",,,,,,,,,"R$ 283.942,70","R$ 1.100.000,00",,,,
11130341000,Impostos,Renda - Retido na Fonte - Outros Rendimentos ,"R$ 22.914,45","R$ 29.408,68","R$ 42.204,10","R$ 37.122,90",,,,,,,,,"R$ 131.650,13","R$ 300.000,00",,,,
11180231000,Impostos,Serviços de Qualquer Natureza - Principal ,"R$ 79.227,23","R$ 147.744,06","R$ 120.752,48","R$ 147.560,30",,,,,,,,,"R$ 495.284,07","R$ 2.000.000,00",,,,
11180232000,Impostos,Serviços de Qualquer Natureza - Multas e Juros ,"R$ 236,60","R$ 0,72","R$ 5,04","R$ 6,11",,,,,,,,,"R$ 248,47","R$ 5.000,00",,,,
11180233000,Impostos, Serviços de Qualquer Natureza - Dívida Ativa ,"R$ 13.499,54","R$ 2.953,47","R$ 502,67","R$ 7.824,64",,,,,,,,,"R$ 24.780,32","R$ 50.000,00",,,,
