,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Toral,Toral
Educação Infantil,1.205, AQUISICAO EQUIP.MATER.PERM./VEICULOS ,576,Equipamentos e Materiais Permanentes,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.205, AQUISICAO EQUIP.MATER.PERM./VEICULOS ,756,Equipamentos e Materiais Permanentes,1500,"R$ 100.000,00",,,"R$ 100.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.205, AQUISICAO EQUIP.MATER.PERM./VEICULOS ,577,Equipamentos e Materiais Permanentes,1569,"R$ 80.000,00",,,"R$ 80.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.206,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,578,Obras e Instalações,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.206,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,579,Obras e Instalações,1550,"R$ 100.000,00",,,"R$ 41.137,59","R$ 45.019,79","R$ 45.019,79","R$ 45.019,79","R$ 13.842,62","R$ 13.842,62","R$ 13.842,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 58.862,41","R$ 58.862,41","R$ 58.862,41"
Educação Infantil,1.214,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,580,Obras e Instalações,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.350,MANUTENÇÃO DA MERENDA ESCOLAR,571,Materiais de Consumo,1500,"R$ 100.640,12",,,"R$ 76.208,00","R$ 8.527,37","R$ 8.527,37","R$ 43,71","R$ 15.904,75","R$ 12.387,23","R$ 5.765,20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 24.432,12","R$ 20.914,60","R$ 5.808,91"
Educação Infantil,2.351,MANUTENÇÃO DA MERENDA ESCOLAR,572,Materiais de Consumo,1552,"R$ 69.000,00",,,"R$ 66.801,60","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.198,40","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.198,40","R$ 0,00","R$ 0,00"
Educação Infantil,2.352,MANUTENÇÃO DA MERENDA ESCOLAR,573,Materiais de Consumo,1552,"R$ 80.000,00",,,"R$ 80.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.353,MANUTENÇÃO DA MERENDA ESCOLAR,574,Materiais de Consumo,1500,"R$ 20.000,00",,,"R$ 17.459,24","R$ 804,00","R$ 804,00","R$ 0,00","R$ 1.736,76","R$ 1.736,76","R$ 804,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.540,76","R$ 2.540,76","R$ 804,00"
Educação Infantil,2.354,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,581,Contratação por tempo Determinado,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.354,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,582,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.354,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,583,Obrigações Patronais,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.354,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,584,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.354,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,585,Indenizações e Restituições Trabalhistas,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.354,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,586,Materiais de Consumo,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
