,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Toral,Toral
Ensino Geral,1,MANUTENCAO DE APOSENTADORIA DE PROFESSORES,447,"- Aposentadorias, Reserva Remunerada e Reformas",1500,"R$ 22.000,00",,,"R$ 18.758,00","R$ 1.621,00","R$ 1.621,00","R$ 1.621,00","R$ 1.621,00","R$ 1.621,00","R$ 1.621,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 3.242,00","R$ 3.242,00","R$ 3.242,00"
Ensino Fundamental,1.009,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,450,Obras e Instalações,15001,"R$ 20.000,00",,,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.065,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,506,Obras e Instalações,15001,"R$ 50.000,00",,,"R$ 50.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.095,EQUIPAMENTOS E MATERIAL PERMANENTE,499,Equipamentos e Materiais Permanentes,1569,"R$ 25.000,00",,,"R$ 25.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.096,EQUIPAMENTOS E MATERIAL PERMANENTE,507,Equipamentos e Materiais Permanentes,15001,"R$ 50.000,00",,,"R$ 49.231,96","R$ 768,04","R$ 0,00","R$ 0,00","R$ 0,00","R$ 768,04","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 768,04","R$ 768,04","R$ 0,00"
Secretaria,1.097,EQUIPAMENTOS E MATERIAL PERMANENTE,425,Equipamentos e Materiais Permanentes,15001,"R$ 5.000,00",,,"R$ 4.326,01","R$ 673,99","R$ 0,00","R$ 0,00","R$ 0,00","R$ 673,99","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 673,99","R$ 673,99","R$ 0,00"
Ensino Fundamental,1.098,- AQUISICAO DE VEICULOS / EQUIP. MATERIAL PERM.,451,Equipamentos e Materiais Permanentes,15001,"R$ 150.000,00",,"R$ 47.400,00","R$ 98.269,42","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.330,58","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.330,58","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.098,- AQUISICAO DE VEICULOS / EQUIP. MATERIAL PERM.,452,Equipamentos e Materiais Permanentes,1569,"R$ 28.000,00",,,"R$ 28.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.128,- OBRAS E REF. ESCOLA ENSINO FUNDAM. – CONVENIO SEE,763,Obras e Instalações,2571,"R$ 0,00","R$ 1.029.220,08",,"R$ 164.420,08","R$ 0,00","R$ 0,00","R$ 0,00","R$ 864.800,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 864.800,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.129,AQUISIÇÃO DE VEICULOS – CONVENIO SEE,764,Equipamentos e Materiais Permanentes,2571,"R$ 0,00","R$ 558.669,42",,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 558.669,42","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 558.669,42","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.130,- EQUIPAM. MAT. PERM. ENS. FUNDAMENTAL – CONVENIO SEE,765,Equipamentos e Materiais Permanentes,2571,"R$ 0,00","R$ 453.132,50",,"R$ 168.619,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 284.513,50","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 284.513,50","R$ 0,00","R$ 0,00"
Educação Infantil,1.131,EQUIPAM. MAT. PERM. ENS. INFANTIL – CONVENIO SEE,766,Equipamentos e Materiais Permanentes,2571,"R$ 0,00","R$ 181.867,50",,"R$ 52.479,90","R$ 0,00","R$ 0,00","R$ 0,00","R$ 129.387,60","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 129.387,60","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,430,Materiais de Consumo,1500,"R$ 45.000,00",,,"R$ 35.250,20","R$ 7.782,57","R$ 4.672,20","R$ 0,00","R$ 1.967,23","R$ 3.950,93","R$ 7.646,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.749,80","R$ 8.623,13","R$ 7.646,77"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,435,Serviços de Terceiros PJ,1500,"R$ 40.000,00",,,"R$ 39.957,01","R$ 0,00","R$ 0,00","R$ 0,00","R$ 42,99","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 42,99","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,438,Auxílio-alimentação,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,441,Serviços de Terceiro PF,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,426,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 50.000,00",,,"R$ 50.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,427,Obrigações Patronais,15001,"R$ 9.000,00",,,"R$ 9.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,428,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,429,Diárias - Pessoal Civil,15001,"R$ 1.000,00","R$ 40.000,00",,"R$ 26.600,00","R$ 13.900,00","R$ 2.780,00","R$ 180,00","R$ 500,00","R$ 370,00","R$ 2.970,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 14.400,00","R$ 3.150,00","R$ 3.150,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,431,Materiais de Consumo,15001,"R$ 20.000,00",,,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,432,Passagens e despesas com locomoção,15001,"R$ 500,00",,,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,433,SERVIÇOS DE CONSULTORIA,15001,"R$ 25.000,00",,,"R$ 25.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,434,Serviços de Terceiro PF,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,436,Serviços de Terceiros PJ,15001,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,437,- SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - PJ,15001,"R$ 30.000,00",,,"R$ 16.918,25","R$ 13.081,75","R$ 0,00","R$ 0,00","R$ 0,00","R$ 13.081,75","R$ 2.616,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 13.081,75","R$ 13.081,75","R$ 2.616,35"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,439,Auxílio-alimentação,15001,"R$ 6.000,00",,,"R$ 6.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,440,- OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,442,Outros Auxílios  financeiros PF,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.039,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,443,Despesas de exercícios anteriores,15001,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,462,Materiais de Consumo,1500,"R$ 250.000,00",,,"R$ 236.827,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 13.173,00","R$ 1.523,00","R$ 18,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 13.173,00","R$ 1.523,00","R$ 18,28"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,453,Contratação por tempo Determinado,15001,"R$ 205.000,00",,,"R$ 202.802,74","R$ 2.197,26","R$ 2.197,26","R$ 2.197,26","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.197,26","R$ 2.197,26","R$ 2.197,26"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,455,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 1.050.000,00",,"R$ 42.000,00","R$ 1.002.858,11","R$ 5.141,89","R$ 5.141,89","R$ 5.141,89","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 5.141,89","R$ 5.141,89","R$ 5.141,89"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,457,Obrigações Patronais,15001,"R$ 100.000,00",,,"R$ 100.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,459,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 10.000,00",,"R$ 300,00","R$ 9.700,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,461,Indenizações e Restituições Trabalhistas,15001,"R$ 20.000,00","R$ 74.400,00",,"-R$ 287,23","R$ 94.386,04","R$ 94.386,04","R$ 94.386,04","R$ 301,19","R$ 301,19","R$ 301,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 94.687,23","R$ 94.687,23","R$ 94.687,23"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,463,Materiais de Consumo,15001,"R$ 200.000,00",,,"R$ 191.660,81","R$ 8.339,19","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.926,20","R$ 1.266,69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 8.339,19","R$ 4.926,20","R$ 1.266,69"
Ensino Fundamental,2.040,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,467,"- Material, Bem ou Serviço para Distribuição Gratuita",15001,"R$ 100.000,00",,,"R$ 100.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
