Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas,Repasse,2025,Atualização Quadrimestral,% Atualização 
11180111000,Impostos,Propriedade Predial e Territorial Urbana - Principal ,"R$ 11.442,62","R$ 0,00",,,,,,,,,,,"R$ 11.442,62","R$ 1.280.000,00",,,,
11180112000,Impostos,Propriedade Predial e Territorial Urbana - Multas e Juros ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 18.000,00",,,,
11180113000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa ,"R$ 6.446,64","R$ 9.529,26",,,,,,,,,,,"R$ 15.975,90","R$ 507.866,50",,,,
11180114000,Impostos, Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros ,"R$ 3.091,26","R$ 4.244,47",,,,,,,,,,,"R$ 7.335,73","R$ 107.000,00",,,,
11180141000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal ,"R$ 63.543,85","R$ 57.066,34",,,,,,,,,,,"R$ 120.610,19","R$ 1.080.000,00",,,,
11180142000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 10.000,00",,,,
11180143000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11180144000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11130311000,Impostos,Renda - Retido na Fonte - Trabalho - Principal ,"R$ 118.063,20","R$ 109.820,21",,,,,,,,,,,"R$ 227.883,41","R$ 1.450.000,00",,,,
11130341000,Impostos,Renda - Retido na Fonte - Outros Rendimentos ,"R$ 7.014,21","R$ 25.811,24",,,,,,,,,,,"R$ 32.825,45","R$ 450.000,00",,,,
