,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Geral,12.306.100.420.810.000,MANUTENÇÃO DA MERENDA ESCOLAR,370,Materiais de Consumo,1500,"R$ 9.000,00",,,"R$ 9.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,12.306.100.420.810.000,MANUTENÇÃO DA MERENDA ESCOLAR,371,Materiais de Consumo,1550,"R$ 850.000,00",,"R$ 30.773,40","R$ 536.211,08","R$ 57.265,43","R$ 0,00","R$ 0,00","R$ 65.121,06","R$ 53.584,35","R$ 0,00","R$ 97.945,83","R$ 106.204,42","R$ 140.949,20","R$ 62.683,20","R$ 45.871,94","R$ 18.839,57",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 283.015,52","R$ 205.660,71","R$ 159.788,77"
Ensino Geral,12.306.100.420.810.000,MANUTENÇÃO DA MERENDA ESCOLAR,372,Materiais de Consumo,1552,"R$ 280.000,00",,,"R$ 183.009,66","R$ 0,00","R$ 0,00","R$ 0,00","R$ 23.917,10","R$ 0,00","R$ 0,00","R$ 42.700,05","R$ 45.490,09","R$ 28.316,23","R$ 30.373,19","R$ 29.834,98","R$ 28.294,93",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 96.990,34","R$ 75.325,07","R$ 56.611,16"
Ensino Geral,12.306.100.420.810.000,MANUTENÇÃO DA MERENDA ESCOLAR,373,Serviços de Terceiro PF,1500,"R$ 3.000,00",,,"R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,12.306.100.420.810.000,MANUTENÇÃO DA MERENDA ESCOLAR,374,Serviços de Terceiros PJ,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,12.361.120.110.280.000,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,375,Obras e Instalações,15001,"R$ 80.000,00",,,"R$ 80.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,12.361.120.110.280.000,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,376,Obras e Instalações,1500,"R$ 20.000,00",,,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,12.361.120.110.290.000,AQUIS. EQUIP. MAT. PERM. P/ENSINO ,377,Equipamentos e Materiais Permanentes,15001,"R$ 160.000,00",,,"R$ 157.600,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.400,00","R$ 2.400,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.400,00","R$ 2.400,00","R$ 0,00"
Ensino Fundamental,12.361.120.110.290.000,AQUIS. EQUIP. MAT. PERM. P/ENSINO ,378,Equipamentos e Materiais Permanentes,1569,"R$ 50.000,00",,,"R$ 50.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,12.361.120.110.290.000,AQUIS. EQUIP. MAT. PERM. P/ENSINO ,1091,Equipamentos e Materiais Permanentes,1550,"R$ 0,00","R$ 41.650,00",,"R$ 184,00","R$ 30.816,00","R$ 0,00","R$ 0,00","R$ 10.650,00","R$ 30.816,00","R$ 15.408,00","R$ 0,00","R$ 10.650,00","R$ 26.058,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 41.466,00","R$ 41.466,00","R$ 41.466,00"
Ensino Fundamental,12.361.120.110.290.000,AQUIS. EQUIP. MAT. PERM. P/ENSINO ,1094,Equipamentos e Materiais Permanentes,1500,"R$ 0,00","R$ 259.843,00",,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 259.843,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 259.843,00","R$ 0,00","R$ 0,00"
Ensino Geral,12.361.120.110.300.000,AQUIS. EQUIP. INFORMATICA P / ENSINO,379,Equipamentos e Materiais Permanentes,15001,"R$ 10.000,00",,,"R$ 610,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9.390,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9.390,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.390,00","R$ 9.390,00","R$ 0,00"
