Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas,Repasse,2025,Atualização Quadrimestral,% Atualização 
11180111000,Impostos,Propriedade Predial e Territorial Urbana - Principal ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 1.991.000,00",,,,
11180112000,Impostos,Propriedade Predial e Territorial Urbana - Multas e Juros ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 5.800,00",,,,
11180113000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa ,"R$ 14.301,93","R$ 21.140,10",,,,,,,,,,,"R$ 35.442,03","R$ 356.650,00",,,,
11180114000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros ,"R$ 5.807,78","R$ 9.115,42",,,,,,,,,,,"R$ 14.923,20","R$ 201.000,00",,,,
11180141000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal ,"R$ 37.369,37","R$ 58.098,75",,,,,,,,,,,"R$ 95.468,12","R$ 855.500,00",,,,
11180142000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11180143000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11180144000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11130311000,Impostos,Renda - Retido na Fonte - Trabalho - Principal ,"R$ 361.912,84","R$ 296.479,99",,,,,,,,,,,"R$ 658.392,83","R$ 3.642.000,00",,,,
11130341000,Impostos,Renda - Retido na Fonte - Outros Rendimentos ,"R$ 16.895,66","R$ 21.604,89",,,,,,,,,,,"R$ 38.500,55","R$ 282.000,00",,,,
11180231000,Impostos,Serviços de Qualquer Natureza - Principal ,"R$ 597.628,24","R$ 450.474,50",,,,,,,,,,,"R$ 1.048.102,74","R$ 6.741.000,00",,,,
11180232000,Impostos,Serviços de Qualquer Natureza - Multas e Juros ,"R$ 14.340,58","R$ 2.218,47",,,,,,,,,,,"R$ 16.559,05","R$ 73.000,00",,,,
11180233000,Impostos, Serviços de Qualquer Natureza - Dívida Ativa ,"R$ 2.743,11","R$ 2.491,27",,,,,,,,,,,"R$ 5.234,38","R$ 105.000,00",,,,
11180234000,Impostos,Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros ,"R$ 671,76","R$ 2.018,99",,,,,,,,,,,"R$ 2.690,75","R$ 33.000,00",,,,
17180121000,Cota-Parte ,Fundo de Participação dos Municípios - Cota Mensal - Principal ,"R$ 2.858.047,54","R$ 3.593.420,71",,,,,,,,,,,"R$ 6.451.468,25","R$ 31.545.000,00",,,,
17180131000,Cota-Parte ,Fundo de Participação do Municípios – 1% Cota entregue no mês de dezembro - Principal ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 3.721.850,00",,,,
