,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,TOTAL ,TOTAL ,TOTAL 
Ensino Superior,16, CONTRIBUICAO A BOLSAS DE ESTUDO - ENSINO SUPERIOR,183,Auxílio Financeiro a Estudantes,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,58,APOIO FINANCEIRO AS ORG. SOC. CIVIL - ENSINO,130,Subvenções Sociais,15001,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,59,APOIO FINANCEIRO AS ORG. SOC. CIVIL - ENS.ESPECIAL,222,Subvenções Sociais,15001,"R$ 376.500,00",,,"R$ 41.041,43","R$ 35.458,57","R$ 35.458,57","R$ 35.458,57","R$ 300.000,00","R$ 40.809,19","R$ 40.809,19","R$ 0,00","R$ 122.427,57","R$ 40.809,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 335.458,57","R$ 198.695,33","R$ 117.076,95"
Ensino Geral,1.003,"AQUISICAO DE MOVEIS, MAQUINAS E VEICULOS P/ ENSINO",131,Equipamentos e Materiais Permanentes,15001,"R$ 30.000,00",,,"R$ 30.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.004,CONSTR. AMPL.REF.E ADAPT.DE PREDIOS ESCOLARES,132,Obras e Instalações,1570,"R$ 10.500,00",,,"R$ 10.500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.024,CONSTR. AMPL.REF.E ADAPT.DE PREDIOS ESCOLARES,133,Obras e Instalações,1550,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.025,CONSTR. AMPL.REF.E ADAPT.DE PREDIOS ESCOLARES,187,Obras e Instalações,15001,"R$ 20.000,00","R$ 17.500,00",,"R$ 4.083,35","R$ 17.157,01","R$ 16.330,93","R$ 2.798,73","R$ 7.970,70","R$ 6.813,33","R$ 19.372,28","R$ 8.288,94","R$ 10.272,39","R$ 5.745,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 33.416,65","R$ 33.416,65","R$ 27.916,65"
Educação Infantil,1.026,CONSTR. AMPL.REF.E ADAPT.DE PREDIOS ESCOLARES,188,Obras e Instalações,15001,"R$ 20.000,00",,"R$ 7.500,00","R$ 12.500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.503,CONSTR. AMPL.REF.E ADAPT.DE PREDIOS ESCOLARES,134,Obras e Instalações,15001,"R$ 20.000,00",,,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
