,,,,,,,,,,,,,,,,,,,,
Código,,Descrição da Receita,Janeiro,Fevereiro,Março ,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado ,Repasse,2025,Atualização Quadrimestral,% Atualização 
11180111000,Impostos,Propriedade Predial e Territorial Urbana - Principal ,"R$ 5.518,33","R$ 4.511,36","R$ 24.007,45",,,,,,,,,,"R$ 34.037,14","R$ 1.350.000,00",,,,
11180112000,Impostos,Propriedade Predial e Territorial Urbana - Multas e Juros ,"R$ 470,10","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 470,10","R$ 6.000,00",,,,
11180113000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa ,"R$ 9.577,15","R$ 12.332,69","R$ 14.725,20",,,,,,,,,,"R$ 36.635,04","R$ 300.000,00",,,,
11180114000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros ,"R$ 1.534,06","R$ 1.331,08","R$ 1.469,55",,,,,,,,,,"R$ 4.334,69","R$ 40.000,00",,,,
11180141000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal ,"R$ 36.398,85","R$ 44.370,00","R$ 30.113,94",,,,,,,,,,"R$ 110.882,79","R$ 800.000,00",,,,
11180142000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 1.000,00",,,,
11180143000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 1.000,00",,,,
11180144000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 300,00",,,,
11130311000,Impostos,Renda - Retido na Fonte - Trabalho - Principal ,"R$ 77.557,46","R$ 74.502,71","R$ 78.915,96",,,,,,,,,,"R$ 230.976,13","R$ 1.220.000,00",,,,
11130341000,Impostos,Renda - Retido na Fonte - Outros Rendimentos ,"R$ 8.314,40","R$ 11.429,28","R$ 8.994,18",,,,,,,,,,"R$ 28.737,86","R$ 160.000,00",,,,
11180231000,Impostos,Serviços de Qualquer Natureza - Principal ,"R$ 282.198,85","R$ 228.398,95","R$ 138.295,33",,,,,,,,,,"R$ 648.893,13","R$ 2.370.000,00",,,,
11180232000,Impostos,Serviços de Qualquer Natureza - Multas e Juros ,"R$ 312,35","R$ 2.221,45","R$ 82,94",,,,,,,,,,"R$ 2.616,74","R$ 9.000,00",,,,
11180233000,Impostos, Serviços de Qualquer Natureza - Dívida Ativa ,"R$ 245,59","R$ 2.940,17","R$ 193,52",,,,,,,,,,"R$ 3.379,28","R$ 6.500,00",,,,
11180234000,Impostos,Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros ,"R$ 92,22","R$ 147,71","R$ 60,66",,,,,,,,,,"R$ 300,59","R$ 2.000,00",,,,
17180121000,Cota-Parte ,Fundo de Participação dos Municípios - Cota Mensal - Principal ,"R$ 1.714.827,92","R$ 2.156.052,43","R$ 1.305.620,24",,,,,,,,,,"R$ 5.176.500,59","R$ 20.600.000,00",,,,
17180131000,Cota-Parte ,Fundo de Participação do Municípios – 1% Cota entregue no mês de dezembro - Principal ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 203.060,00",,,,
17180141000,Cota-Parte ,Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho e setembro - Principal ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 577.940,00",,,,
17180151000,Cota-Parte ,Imposto Sobre a Propriedade Territorial Rural - Principal,"R$ 143,75","R$ 473,97","R$ 452,01",,,,,,,,,,"R$ 1.069,73","R$ 3.700,00",,,,
17280111000,Cota-Parte ,ICMS - Principal ,"R$ 748.677,50","R$ 614.252,91","R$ 832.232,91",,,,,,,,,,"R$ 2.195.163,32","R$ 9.300.000,00",,,,
17280121000,Cota-Parte ,IPVA - Principal ,"R$ 301.425,94","R$ 679.275,75","R$ 304.862,69",,,,,,,,,,"R$ 1.285.564,38","R$ 4.100.000,00",,,,
17280131000,Cota-Parte ,IPI - Municípios - Principal ,"R$ 8.925,61","R$ 9.102,83","R$ 9.243,09",,,,,,,,,,"R$ 27.271,53","R$ 120.000,00",,,,
9517180121000,Dedução FUNDEB,Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,"-R$ 342.965,56","-R$ 431.210,47","-R$ 261.124,02",,,,,,,,,,"-R$ 1.035.300,05","-R$ 4.120.000,00",,,,
9517180151000,Dedução FUNDEB,Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal ,"-R$ 28,73","-R$ 94,78","-R$ 90,40",,,,,,,,,,"-R$ 213,91","-R$ 740,00",,,,
9517180611000,Dedução FUNDEB,Transferência Financeira do ICMS – Desoneração – L.C. No 87/96 - Principal ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
9517280111000 -,Dedução FUNDEB,Cota-Parte do ICMS - Principal ,"-R$ 149.735,47","-R$ 122.850,56","-R$ 166.446,54",,,,,,,,,,"-R$ 439.032,57","-R$ 1.860.000,00",,,,
9517280121000,Dedução FUNDEB,Cota-Parte do IPVA - Principal ,"-R$ 60.285,05","-R$ 135.855,06","-R$ 60.972,44",,,,,,,,,,"-R$ 257.112,55","-R$ 820.000,00",,,,
9517280131000,Dedução FUNDEB,Cota-Parte do IPI - Municípios - Principal,"-R$ 1.785,13","-R$ 1.619,81","-R$ 1.848,61",,,,,,,,,,"-R$ 5.253,55","-R$ 24.000,00",,,,
17515001000,FUNDEB,FUNDEB Princicipal ,"R$ 412.200,05","R$ 483.100,22","R$ 425.927,33",,,,,,,,,,"R$ 1.321.227,60","R$ 4.700.000,00","R$ 4.885.877,54","R$ 4.316.868,95","R$ 4.829.817,79","-1,15%"
13210111002,FUNDEB,FUNDEB Rendimentos ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17155201000,FUNDEB,FUNDEB VAAR ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17155301000,FUNDEB,FUNDEB ETI,"R$ 0,00","R$ 0,00","R$ 9.549,12",,,,,,,,,,"R$ 9.549,12","R$ 0,00",,,,
17155200000,FUNDEB,FUNDEB VAAT,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17145201000,Tranferência Programas Federais ,PNAE,"R$ 6,67","R$ 12.160,00","R$ 12.160,00",,,,,,,,,,"R$ 24.326,67","R$ 100.000,00","R$ 97.280,00","R$ 76.948,00",,
13210111016,Remunerações Bancárias,Rendimentos ,"R$ 27,42","R$ 29,54","R$ 121,50",,,,,,,,,,"R$ 178,46","R$ 500,00",,,,
17145301000,Tranferência Programas Federais ,PNATE,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 40.000,00","R$ 12.917,84","R$ 12.514,10",,
13210111017,Remunerações Bancárias,Rendimentos ,"R$ 95,24","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 95,24","R$ 0,00",,,,
17295201001,Tranferência Programas Estaduais,PTE,"R$ 0,00","R$ 47.532,38","R$ 0,00",,,,,,,,,,"R$ 47.532,38","R$ 475.323,80",,,,
13210111023,Remunerações Bancárias,Rendimentos ,"R$ 202,81","R$ 270,60","R$ 0,00",,,,,,,,,,"R$ 473,41","R$ 7.000,00",,,,
