,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril,Abril,Abril,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Educação Infantil,1.236.500.102.014,ENSINO PRÉ ESCOLAR,94,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.236.500.102.014,ENSINO PRÉ ESCOLAR,95,Obrigações Patronais,15001,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.236.500.102.014,ENSINO PRÉ ESCOLAR,96,Materiais de Consumo,15001,"R$ 179.807,00",,,"R$ 167.093,78","R$ 10.040,92","R$ 3.780,30","R$ 2.700,00","R$ 2.672,30","R$ 5.008,00","R$ 1.240,30","R$ 0,00","R$ 3.924,92","R$ 6.260,62","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 12.713,22","R$ 12.713,22","R$ 10.200,92"
Educação Infantil,1.236.500.102.014,ENSINO PRÉ ESCOLAR,97,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 180.000,00",,,"R$ 141.415,21","R$ 16.648,42","R$ 16.648,42","R$ 10.800,00","R$ 178,10","R$ 178,10","R$ 5.848,42","R$ 3.021,56","R$ 3.021,56","R$ 178,10","R$ 18.736,71","R$ 18.736,71","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 38.584,79","R$ 38.584,79","R$ 16.826,52"
Educação Infantil,1.236.500.102.014,ENSINO PRÉ ESCOLAR,98,Auxílio-alimentação,15001,"R$ 350.000,00",,,"R$ 260.716,88","R$ 5.919,00","R$ 5.919,00","R$ 0,00","R$ 5.879,58","R$ 5.879,58","R$ 5.919,00","R$ 5.508,08","R$ 5.508,08","R$ 5.879,58","R$ 71.976,46","R$ 71.976,46","R$ 5.508,08",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 89.283,12","R$ 89.283,12","R$ 17.306,66"
Educação Infantil,1.236.500.102.054,ENSINO PRÉ ESCOLAR,99,Obras e Instalações,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.236.500.102.054,ENSINO PRÉ ESCOLAR,100,Obras e Instalações,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.236.500.102.054,ENSINO PRÉ ESCOLAR,231,Obras e Instalações,,"R$ 5.737.882,19",,,"R$ 5.737.882,19","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.236.500.102.054,ENSINO PRÉ ESCOLAR,232,Obras e Instalações,,"R$ 142.708,21",,,"R$ 142.708,21","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.236.100.072.011,ENSINO FUNDAMENTAL,101,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 948.000,00",,,"R$ 610.190,04","R$ 63.861,47","R$ 63.861,47","R$ 0,00","R$ 83.253,70","R$ 83.253,70","R$ 65.196,25","R$ 97.681,66","R$ 97.681,66","R$ 88.509,02","R$ 93.013,13","R$ 93.013,13","R$ 91.364,79",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 337.809,96","R$ 337.809,96","R$ 245.070,06"
Ensino Fundamental,1.236.100.072.011,ENSINO FUNDAMENTAL,102,Obrigações Patronais,15001,"R$ 330.000,00",,,"R$ 242.021,24","R$ 15.626,33","R$ 15.626,33","R$ 0,00","R$ 22.000,47","R$ 106,78","R$ 15.733,11","R$ 25.312,90","R$ 47.206,59","R$ 21.893,69","R$ 25.039,06","R$ 25.039,06","R$ 25.312,90",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 87.978,76","R$ 87.978,76","R$ 62.939,70"
Ensino Fundamental,1.236.100.072.011,ENSINO FUNDAMENTAL,103,Materiais de Consumo,15001,"R$ 620.000,00",,,"R$ 491.426,40","R$ 52.219,60","R$ 0,00","R$ 0,00","R$ 43.100,67","R$ 57.794,86","R$ 23.690,34","R$ 25.561,77","R$ 61.970,17","R$ 35.066,33","R$ 7.691,56","R$ 3.904,41","R$ 17.972,51",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 128.573,60","R$ 123.669,44","R$ 76.729,18"
Ensino Fundamental,1.236.100.072.011,ENSINO FUNDAMENTAL,104, Passagens e Despesas com Locomoção,15001,"R$ 3.000,00",,,"R$ 1.700,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 700,00","R$ 700,00","R$ 0,00","R$ 600,00","R$ 600,00","R$ 600,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.300,00","R$ 1.300,00","R$ 600,00"
Ensino Fundamental,1.236.100.072.011,ENSINO FUNDAMENTAL,105,Serviços de Terceiro PF,15001,"R$ 7.000,00",,,"R$ 7.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.236.100.072.011,ENSINO FUNDAMENTAL,106,Serviços de Terceiros PJ,15001,"R$ 432.000,00",,,"R$ 63.371,10","R$ 23.497,19","R$ 23.497,19","R$ 0,00","R$ 69.991,95","R$ 64.102,11","R$ 29.438,56","R$ 131.185,77","R$ 132.075,61","R$ 68.140,82","R$ 143.953,99","R$ 145.722,63","R$ 99.635,77",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 368.628,90","R$ 365.397,54","R$ 197.215,15"
Ensino Fundamental,1.236.100.072.011,ENSINO FUNDAMENTAL,107,Auxílio-alimentação,15001,"R$ 290.000,00",,,"R$ 22.536,48","R$ 82.866,60","R$ 82.866,60","R$ 0,00","R$ 83.459,08","R$ 83.459,08","R$ 82.866,60","R$ 83.992,45","R$ 83.992,45","R$ 83.459,08","R$ 17.145,39","R$ 17.145,39","R$ 83.992,45",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 267.463,52","R$ 267.463,52","R$ 250.318,13"
Ensino Fundamental,1.236.100.072.011,ENSINO FUNDAMENTAL,108,Equipamentos e Materiais Permanentes,15001,"R$ 63.000,00",,,"R$ 6.801,35","R$ 0,00","R$ 0,00","R$ 0,00","R$ 15.264,55","R$ 14.366,05","R$ 694,05","R$ 38.016,10","R$ 38.914,60","R$ 12.771,60","R$ 2.918,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 56.198,65","R$ 53.280,65","R$ 13.465,65"
Ensino Fundamental,1.236.100.072.011,ENSINO FUNDAMENTAL,241,Vencimentos e Vantagens Fixas - Pessoal Civil,,"R$ 280.877,00",,,"R$ 234.797,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 46.079,02","R$ 46.079,02","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 46.079,02","R$ 46.079,02","R$ 0,00"
Ensino Geral,1.236.100.082.012,FUNDEB,109,Vencimentos e Vantagens Fixas - Pessoal Civil,15407,"R$ 9.190.500,00",,,"R$ 6.577.779,57","R$ 403.976,33","R$ 403.976,33","R$ 0,00","R$ 753.813,62","R$ 753.813,62","R$ 428.998,45","R$ 741.904,96","R$ 741.904,96","R$ 728.791,50","R$ 713.025,52","R$ 713.025,52","R$ 1.454.930,48",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.612.720,43","R$ 2.612.720,43","R$ 2.612.720,43"
Ensino Geral,1.236.100.082.012,FUNDEB,110,Vencimentos e Vantagens Fixas - Pessoal Civil,15403,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.236.100.082.012,FUNDEB,111,Obrigações Patronais,15407,"R$ 2.347.500,00",,,"R$ 1.667.888,12","R$ 95.352,51","R$ 95.352,51","R$ 0,00","R$ 196.133,32","R$ 5.817,58","R$ 97.435,21","R$ 192.692,21","R$ 383.007,95","R$ 194.050,62","R$ 195.433,84","R$ 195.433,84","R$ 192.692,21",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 679.611,88","R$ 679.611,88","R$ 484.178,04"
Ensino Geral,1.236.100.082.012,FUNDEB,112,Obrigações Patronais,15403,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.236.100.082.012,FUNDEB,113,Subvenções Sociais,15403,"R$ 70.000,00",,,"R$ 70.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.236.100.082.012,FUNDEB,114,Materiais de Consumo,15403,"R$ 220.000,00",,,"R$ 220.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.236.100.082.012,FUNDEB,115, Passagens e Despesas com Locomoção,15403,"R$ 31.000,00",,,"R$ 31.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.236.100.082.012,FUNDEB,116,Serviços de Terceiros PJ,15403,"R$ 250.000,00",,,"-R$ 7.020,90","R$ 31.224,80","R$ 17.640,00","R$ 0,00","R$ 28.691,80","R$ 42.276,60","R$ 59.916,60","R$ 87.006,40","R$ 84.486,40","R$ 81.966,40","R$ 110.097,90","R$ 105.391,19","R$ 94.927,77",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 257.020,90","R$ 249.794,19","R$ 236.810,77"
