Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março ,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas ,Repasse,2025,Atualização Quadrimestral,% Atualização 
11180111000,Impostos,Propriedade Predial e Territorial Urbana - Principal ,"R$ 7.952,94","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 7.952,94","R$ 1.350.000,00",,,,
11180112000,Impostos,Propriedade Predial e Territorial Urbana - Multas e Juros ,"R$ 79.515,17","R$ 77.419,44","R$ 64.035,88","R$ 61.536,54",,,,,,,,,"R$ 282.507,03","R$ 250.000,00",,,,
11180113000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa ,"R$ 8.243,44","R$ 6.899,21","R$ 1.258,06","R$ 1.890,68",,,,,,,,,"R$ 18.291,39","R$ 35.000,00",,,,
11180114000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros ,"R$ 22.583,74","R$ 24.186,16","R$ 37.989,19","R$ 34.698,51",,,,,,,,,"R$ 119.457,60","R$ 120.000,00",,,,
11180141000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal ,"R$ 60.760,48","R$ 17.480,88","R$ 210.725,61","R$ 34.146,20",,,,,,,,,"R$ 323.113,17","R$ 780.000,00",,,,
11180142000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11180143000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11180144000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11130311000,Impostos,Renda - Retido na Fonte - Trabalho - Principal ,"R$ 132.366,85","R$ 86.403,75","R$ 86.288,79","R$ 91.771,65",,,,,,,,,"R$ 396.831,04","R$ 1.600.000,00",,,,
11130341000,Impostos,Renda - Retido na Fonte - Outros Rendimentos ,"R$ 17.624,79","R$ 48.166,50","R$ 23.723,88","R$ 27.969,62",,,,,,,,,"R$ 117.484,79","R$ 300.000,00",,,,
11180231000,Impostos,Serviços de Qualquer Natureza - Principal ,"R$ 191.708,55","R$ 115.057,36","R$ 86.071,63","R$ 100.101,70",,,,,,,,,"R$ 492.939,24","R$ 1.500.000,00",,,,
11180232000,Impostos,Serviços de Qualquer Natureza - Multas e Juros ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11180233000,Impostos, Serviços de Qualquer Natureza - Dívida Ativa ,"R$ 3.900,81","R$ 360,93","R$ 210,93","R$ 224,68",,,,,,,,,"R$ 4.697,35","R$ 25.000,00",,,,
11180234000,Impostos,Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros ,"R$ 3.805,37","R$ 157,95","R$ 67,40","R$ 82,36",,,,,,,,,"R$ 4.113,08","R$ 20.000,00",,,,
17180121000,Cota-Parte ,Fundo de Participação dos Municípios - Cota Mensal - Principal ,"R$ 1.714.827,92","R$ 2.156.052,43","R$ 1.305.620,24","R$ 1.537.241,01",,,,,,,,,"R$ 6.713.741,60","R$ 20.000.000,00",,,,
17180131000,Cota-Parte ,Fundo de Participação do Municípios – 1% Cota entregue no mês de dezembro - Principal ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 950.000,00",,,,
17180141000,Cota-Parte ,Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho e setembro - Principal ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 950.000,00",,,,
17180151000,Cota-Parte ,Imposto Sobre a Propriedade Territorial Rural - Principal,"R$ 1.325,77","R$ 772,36","R$ 206,22","R$ 306,97",,,,,,,,,"R$ 2.611,32","R$ 75.000,00",,,,
17280111000,Cota-Parte ,ICMS - Principal ,"R$ 1.851.564,41","R$ 1.509.357,46","R$ 2.036.989,22","R$ 1.721.247,83",,,,,,,,,"R$ 7.119.158,92","R$ 24.000.000,00",,,,
17280121000,Cota-Parte ,IPVA - Principal ,"R$ 275.857,62","R$ 602.727,05","R$ 303.162,84","R$ 294.014,93",,,,,,,,,"R$ 1.475.762,44","R$ 2.000.000,00",,,,
17280131000,Cota-Parte ,IPI - Municípios - Principal ,"R$ 21.925,92","R$ 23.008,95","R$ 22.674,24","R$ 19.111,54",,,,,,,,,"R$ 86.720,65","R$ 300.000,00",,,,
9517180121000,Dedução,Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,"-R$ 342.965,56","-R$ 431.210,47","-R$ 261.124,02","-R$ 307.448,18",,,,,,,,,"-R$ 1.342.748,23","-R$ 4.000.000,00",,,,
9517180151000,Dedução,Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal ,"-R$ 265,14","-R$ 154,46","-R$ 41,24","-R$ 61,37",,,,,,,,,"-R$ 522,21","-R$ 15.000,00",,,,
