 ,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,577,Contratação por tempo Determinado,1500,"R$ 4.000,00",,,"R$ 4.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,578,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 240.000,00",,,"R$ 211.308,13","R$ 14.652,73","R$ 14.652,73","R$ 14.652,73","R$ 14.039,14","R$ 14.039,14","R$ 14.039,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 28.691,87","R$ 28.691,87","R$ 28.691,87"
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,579,Obrigações Patronais,15001,"R$ 200.000,00",,,"R$ 194.667,29","R$ 2.710,96","R$ 2.710,96","R$ 0,00","R$ 2.621,75","R$ 2.621,75","R$ 2.710,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 5.332,71","R$ 5.332,71","R$ 2.710,96"
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,580,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 20.000,00",,,"R$ 17.635,24","R$ 1.401,34","R$ 1.401,34","R$ 1.401,34","R$ 963,42","R$ 963,42","R$ 963,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.364,76","R$ 2.364,76","R$ 2.364,76"
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,581,Indenizações e Restituições Trabalhistas,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,582,Diárias - Pessoal Civil,1500,"R$ 10.000,00",,,"R$ 9.820,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 180,00","R$ 180,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 180,00","R$ 180,00","R$ 0,00"
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,583,Materiais de Consumo,1500,"R$ 50.000,00",,,"R$ 39.769,64","R$ 180,36","R$ 105,36","R$ 0,00","R$ 10.050,00","R$ 75,00","R$ 105,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 10.230,36","R$ 180,36","R$ 105,36"
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,583,Materiais de Consumo,15001,"R$ 0,00",,,"-R$ 30.873,31","R$ 11.013,31","R$ 0,00","R$ 0,00","R$ 19.860,00","R$ 575,51","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 30.873,31","R$ 575,51","R$ 0,00"
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,584,"Premiação Cult.,Artíst.,Científ.Desport.",1500,"R$ 20.000,00",,,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,585,"Material, Bem ou Serviço p/Dist.Gratuita",1500,"R$ 20.000,00",,,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
