,,,,,,,,,,,,,,,,,,,,
Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas,Repasse,2025,Atualização Quadrimestral,% Atualização 
11180111000,Impostos,Propriedade Predial e Territorial Urbana - Principal ,"R$ 2.219,59","R$ 0,00","R$ 2,40","R$ 0,00",,,,,,,,,"R$ 2.221,99","R$ 2.000.000,00",,,,
11180112000,Impostos,Propriedade Predial e Territorial Urbana - Multas e Juros ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 1.500,00",,,,
11180113000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 100.000,00",,,,
11180114000,Impostos,Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 50.000,00",,,,
11180141000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal ,"R$ 135.384,91","R$ 116.755,89","R$ 132.710,93","R$ 21.590,30",,,,,,,,,"R$ 406.442,03","R$ 1.550.000,00",,,,
11180142000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros ,"R$ 27.709,98","R$ 27.163,78","R$ 23.364,87","R$ 155,56",,,,,,,,,"R$ 78.394,19","R$ 1.000,00",,,,
11180143000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 19,20","R$ 0,00","R$ 0,00","R$ 23,87",,,,,,,,,"R$ 43,07","R$ 1.000,00",,,,
11180144000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 27,59","R$ 0,00","R$ 0,00","R$ 17,95",,,,,,,,,"R$ 45,54","R$ 1.000,00",,,,
11130311000,Impostos,Renda - Retido na Fonte - Trabalho - Principal ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 1.650.000,00",,,,
11130341000,Impostos,Renda - Retido na Fonte - Outros Rendimentos ,"R$ 11.191,05","R$ 13.747,93","R$ 21.510,61","R$ 10.254,87",,,,,,,,,"R$ 56.704,46","R$ 300.000,00",,,,
11180231000,Impostos,Serviços de Qualquer Natureza - Principal ,"R$ 196.142,48","R$ 54.277,68","R$ 106.527,86","R$ 37.618,00",,,,,,,,,"R$ 394.566,02","R$ 1.550.000,00",,,,
