,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Secretaria,2.139,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,211,Diárias - Pessoal Civil,15001,"R$ 60.000,00",,,"R$ 21.500,00","R$ 34.000,00","R$ 0,00","R$ 0,00","R$ 4.500,00","R$ 6.394,29","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 38.500,00","R$ 6.394,29","R$ 0,00"
Secretaria,2.139,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,212,Materiais de Consumo,15001,"R$ 80.000,00",,"R$ 10.000,00","R$ 60.244,62","R$ 9.755,38","R$ 2.711,78","R$ 0,00","R$ 0,00","R$ 3.381,87","R$ 2.324,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.755,38","R$ 6.093,65","R$ 2.324,22"
Secretaria,2.139,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,213,Serviços de Consultoria,15001,"R$ 100.000,00","R$ 10.340,00",,"R$ 6.000,00","R$ 93.840,00","R$ 0,00","R$ 0,00","R$ 10.500,00","R$ 16.420,00","R$ 10.420,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 104.340,00","R$ 16.420,00","R$ 10.420,00"
Secretaria,2.139,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,214,Serviços de Terceiro PF,15001,"R$ 5.000,00","R$ 40.000,00",,"R$ 30.000,00","R$ 15.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 10.000,00","R$ 2.500,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 15.000,00","R$ 10.000,00","R$ 2.500,00"
Secretaria,2.139,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,215,Serviços de Terceiros PJ,15001,"R$ 40.000,00",,,"R$ 32.330,00","R$ 6.700,00","R$ 369,20","R$ 48,83","R$ 970,00","R$ 1.144,24","R$ 1.166,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 7.670,00","R$ 1.513,44","R$ 1.215,33"
Secretaria,2.139,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,216,Serv. de TI e Comunicação - PJ,15001,"R$ 10.000,00",,,"R$ 8.946,65","R$ 1.053,35","R$ 702,23","R$ 0,00","R$ 0,00","R$ 702,23","R$ 702,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.053,35","R$ 1.404,46","R$ 702,23"
Secretaria,2.139,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,432,Contribuições,15001,"R$ 0,00","R$ 918,00",,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 918,00","R$ 918,00","R$ 918,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 918,00","R$ 918,00","R$ 918,00"
Ensino Fundamental,1.010,INVEST/ESTRUTURAÇÃO DAS UNID ESCOLARES,217,Obras e Instalações,15001,"R$ 150.000,00",,,"R$ 150.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.010,INVEST/ESTRUTURAÇÃO DAS UNID ESCOLARES,218,Equipamentos e Materiais Permanentes,15001,"R$ 50.000,00",,,"R$ 50.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
