Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçamento Receitas,Repasse,2025,Atualização Quadrimestral,% Atualização 
11180111000,Impostos,Propriedade Predial e Territorial Urbana - Principal ,"R$ 3.007,83","R$ 7.153,20","R$ 20.333,32","R$ 351.845,76",,,,,,,,,"R$ 382.340,11","R$ 1.200.000,00",,,,
11180112000,Impostos,Propriedade Predial e Territorial Urbana - Multas e Juros ,"R$ 1.292,56","R$ 3.451,24","R$ 1.153,91","R$ 1.708,12",,,,,,,,,"R$ 7.605,83","R$ 300.000,00",,,,
11180113000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 100.399,00",,,,
11180114000,Impostos,Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 103.000,00",,,,
11180141000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal ,"R$ 154.823,70","R$ 54.375,62","R$ 88.958,52","R$ 71.305,01",,,,,,,,,"R$ 369.462,85","R$ 1.400.000,00",,,,
11180142000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11180143000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11180144000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
11130311000,Impostos,Renda - Retido na Fonte - Trabalho - Principal ,"R$ 41.894,30","R$ 0,00","R$ 93.397,46","R$ 22.633,74",,,,,,,,,"R$ 157.925,50","R$ 900.000,00",,,,
11130341000,Impostos,Renda - Retido na Fonte - Outros Rendimentos ,"R$ 28.344,08","R$ 74.715,72","R$ 71.169,54","R$ 96.817,08",,,,,,,,,"R$ 271.046,42","R$ 261.950,00",,,,
11180231000,Impostos,Serviços de Qualquer Natureza - Principal ,"R$ 149.570,29","R$ 122.639,28","R$ 114.710,54","R$ 1.423.418,09",,,,,,,,,"R$ 1.810.338,20","R$ 1.735.421,00",,,,
11180232000,Impostos,Serviços de Qualquer Natureza - Multas e Juros ,"R$ 415,40","R$ 319,87","R$ 2,52","R$ 157,66",,,,,,,,,"R$ 895,45","R$ 130.000,00",,,,
11180233000,Impostos, Serviços de Qualquer Natureza - Dívida Ativa ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 90.000,00",,,,
11180234000,Impostos,Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 76.680,00",,,,
17180121000,Cota-Parte ,Fundo de Participação dos Municípios - Cota Mensal - Principal ,"R$ 1.714.827,92","R$ 2.156.052,43","R$ 1.305.620,24","R$ 1.537.241,01",,,,,,,,,"R$ 6.713.741,60","R$ 20.000.000,00",,,,
17180131000,Cota-Parte ,Fundo de Participação do Municípios – 1% Cota entregue no mês de dezembro - Principal ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 1.500.000,00",,,,
17180141000,Cota-Parte ,Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho e setembro - Principal ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 1.500.000,00",,,,
