,,,,,,,,,,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago,Empenhado,Liquidado ,Pago
Categoria ,Código AT,Atividade ,Elemento,Ficha,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Contratação por tempo Determinado,354,15001,"R$ 100,00","R$ 8.567,32",,"R$ 0,00","R$ 214,62","R$ 214,62","R$ 0,00","R$ 4.657,81","R$ 4.657,81","R$ 4.212,74","R$ 1.894,19","R$ 1.894,19","R$ 2.285,61","R$ 1.900,70","R$ 1.900,70","R$ 1.894,19",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 8.667,32","R$ 8.667,32","R$ 8.392,54"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Contratação por tempo Determinado,784,15407,"R$ 0,00","R$ 13.600,66",,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.274,32","R$ 2.274,32","R$ 2.274,32","R$ 5.663,17","R$ 5.663,17","R$ 5.663,17","R$ 5.663,17","R$ 5.663,17","R$ 5.663,17",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 13.600,66","R$ 13.600,66","R$ 13.600,66"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Vencimentos e Vantagens Fixas - Pessoal Civil,356,15001,"R$ 20.000,00",,,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Vencimentos e Vantagens Fixas - Pessoal Civil,355,1500,"R$ 62.000,00",,,"R$ 42.383,85","R$ 4.520,17","R$ 4.520,17","R$ 4.520,17","R$ 6.055,64","R$ 6.055,64","R$ 6.055,64","R$ 4.520,17","R$ 4.520,17","R$ 4.520,17","R$ 4.520,17","R$ 4.520,17","R$ 4.520,17",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 19.616,15","R$ 19.616,15","R$ 19.616,15"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Vencimentos e Vantagens Fixas - Pessoal Civil,785,15407,"R$ 0,00","R$ 9.078,66",,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 3.026,22","R$ 3.026,22","R$ 3.026,22","R$ 3.026,22","R$ 3.026,22","R$ 3.026,22","R$ 3.026,22","R$ 3.026,22","R$ 3.026,22",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.078,66","R$ 9.078,66","R$ 9.078,66"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Obrigações Patronais,358,15001,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Obrigações Patronais,357,1500,"R$ 8.500,00",,,"R$ 5.245,26","R$ 745,83","R$ 745,83","R$ 0,00","R$ 999,18","R$ 999,18","R$ 745,83","R$ 745,83","R$ 745,83","R$ 999,18","R$ 763,90","R$ 763,90","R$ 745,83",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 3.254,74","R$ 3.254,74","R$ 2.490,84"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Outras Despesas Variáveis - Pessoal Civil,359,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Indenizações e Restituições Trabalhistas,360,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Diárias - Pessoal Civil,361,15001,"R$ 3.000,00","R$ 200,00",,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 500,00","R$ 134,35","R$ 134,35","R$ 2.400,00","R$ 2.687,14","R$ 2.687,14","R$ 200,00","R$ 268,72","R$ 268,72",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 3.100,00","R$ 3.090,21","R$ 3.090,21"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Materiais de Consumo,362,15001,"R$ 21.500,00",,,"R$ 19.795,50","R$ 539,85","R$ 0,00","R$ 0,00","R$ 0,00","R$ 539,85","R$ 539,85","R$ 710,00","R$ 0,00","R$ 0,00","R$ 454,65","R$ 113,60","R$ 1,36",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.704,50","R$ 653,45","R$ 541,21"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Serviços de Terceiro PF,363,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Serviços de Terceiros PJ,364,15001,"R$ 40.000,00",,,"R$ 27.859,26","R$ 4.236,58","R$ 973,71","R$ 973,71","R$ 2.473,16","R$ 1.242,80","R$ 1.086,89","R$ 1.606,00","R$ 3.004,00","R$ 2.964,14","R$ 3.825,00","R$ 4.207,52","R$ 4.347,69",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 12.140,74","R$ 9.428,03","R$ 9.372,43"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Auxílio-alimentação,365,15001,"R$ 2.000,00",,,"R$ 1.067,67","R$ 0,00","R$ 0,00","R$ 0,00","R$ 511,73","R$ 511,73","R$ 511,73","R$ 210,30","R$ 210,30","R$ 210,30","R$ 210,30","R$ 210,30","R$ 210,30",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 932,33","R$ 932,33","R$ 932,33"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Auxílio-alimentação,786,15407,"R$ 0,00","R$ 1.682,40",,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 420,60","R$ 420,60","R$ 420,60","R$ 630,90","R$ 630,90","R$ 630,90","R$ 630,90","R$ 630,90","R$ 630,90",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.682,40","R$ 1.682,40","R$ 1.682,40"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Obrigações Tributárias e Contributivas,366,15001,"R$ 100,00","R$ 800,00",,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 800,00","R$ 800,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 800,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 800,00","R$ 800,00","R$ 800,00"
Secretaria,2.169,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,Equipamentos e Materiais Permanentes,367,15001,"R$ 7.500,00",,,"R$ 6.850,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 650,00","R$ 650,00","R$ 650,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 650,00","R$ 650,00","R$ 650,00"
Ensino Geral,2.042,MANUTENÇÃO DA MERENDA ESCOLAR,Materiais de Consumo,369,1552,"R$ 163.000,00",,,"R$ 152.225,78","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 10.774,22","R$ 0,00","R$ 0,00","R$ 0,00","R$ 10.774,22","R$ 10.774,22",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 10.774,22","R$ 10.774,22","R$ 10.774,22"
Ensino Geral,2.042,MANUTENÇÃO DA MERENDA ESCOLAR,Materiais de Consumo,368,1500,"R$ 586.000,00",,,"R$ 325.541,34","R$ 68.087,23","R$ 24.036,45","R$ 23.430,45","R$ 35.906,40","R$ 48.601,44","R$ 46.573,00","R$ 68.670,72","R$ 71.454,61","R$ 66.904,64","R$ 87.794,31","R$ 94.222,17","R$ 90.304,48",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 260.458,66","R$ 238.314,67","R$ 227.212,57"
Ensino Geral,7,DESPESAS COM INATIVOS E PENSIONISTAS DO ENSINO,"Aposentadorias, Reserva Remunerada e Reformas",370,1500,"R$ 63.000,00",,,"R$ 44.361,12","R$ 4.659,72","R$ 4.659,72","R$ 4.659,72","R$ 4.659,72","R$ 4.659,72","R$ 4.659,72","R$ 4.659,72","R$ 4.659,72","R$ 4.659,72","R$ 4.659,72","R$ 4.659,72","R$ 4.659,72",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 18.638,88","R$ 18.638,88","R$ 18.638,88"
Ensino Superior,1.003,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,Obras e Instalações,373,1570,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
