Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas ,Repasse,2025
11180111000,Impostos,Propriedade Predial e Territorial Urbana - Principal ,"R$ 208,40","R$ 2.022,89","R$ 41.464,11","R$ 344.439,05",,,,,,,,,"R$ 388.134,45","R$ 910.000,00",,
11180112000,Impostos,Propriedade Predial e Territorial Urbana - Multas e Juros ,"R$ 14,60","R$ 0,00","R$ 0,00","R$ 27,78",,,,,,,,,"R$ 42,38","R$ 2.000,00",,
11180113000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa ,"R$ 7.484,77","R$ 9.917,37","R$ 7.161,98","R$ 21.953,51",,,,,,,,,"R$ 46.517,63","R$ 150.000,00",,
11180114000,Impostos,Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros ,"R$ 1.496,83","R$ 1.990,38","R$ 1.433,47","R$ 4.394,07",,,,,,,,,"R$ 9.314,75","R$ 23.000,00",,
11180141000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal ,"R$ 127.256,62","R$ 85.142,53","R$ 24.692,62","R$ 23.305,17",,,,,,,,,"R$ 260.396,94","R$ 1.451.000,00",,
11180142000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 1.000,00",,
11180143000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 1.000,00",,
11180144000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 1.000,00",,
11130311000,Impostos,Renda - Retido na Fonte - Trabalho - Principal ,"R$ 52.604,21","R$ 61.431,84","R$ 61.815,46","R$ 64.002,09",,,,,,,,,"R$ 239.853,60","R$ 810.500,00",,
11130341000,Impostos,Renda - Retido na Fonte - Outros Rendimentos ,"R$ 15.742,24","R$ 37.020,21","R$ 22.981,73","R$ 23.897,29",,,,,,,,,"R$ 99.641,47","R$ 286.200,00",,
11180231000,Impostos,Serviços de Qualquer Natureza - Principal ,"R$ 43.739,53","R$ 43.964,42","R$ 65.906,48","R$ 54.990,40",,,,,,,,,"R$ 208.600,83","R$ 620.000,00",,
11180232000,Impostos,Serviços de Qualquer Natureza - Multas e Juros ,"R$ 395,66","R$ 0,00","R$ 374,69","R$ 298,37",,,,,,,,,"R$ 1.068,72","R$ 2.600,00",,
11180233000,Impostos, Serviços de Qualquer Natureza - Dívida Ativa ,"R$ 380,61","R$ 634,09","R$ 2.551,57","R$ 922,97",,,,,,,,,"R$ 4.489,24","R$ 20.000,00",,
11180234000,Impostos,Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros ,"R$ 76,12","R$ 126,81","R$ 510,30","R$ 184,60",,,,,,,,,"R$ 897,83","R$ 5.000,00",,
