,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
MAC,451,Subvenções Sociais,1500,"R$ 6.000.000,00",,,"R$ 0,00","R$ 6.000.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.000.000,00","R$ 1.000.000,00","R$ 0,00","R$ 500.000,00","R$ 500.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.000.000,00","R$ 1.500.000,00","R$ 1.500.000,00"
MAC,452,Subvenções Sociais,1500,"R$ 1.000.000,00",,,"R$ 10.000,00","R$ 990.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 198.000,00","R$ 198.000,00","R$ 0,00","R$ 99.000,00","R$ 99.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 990.000,00","R$ 297.000,00","R$ 297.000,00"
MAC,453,Contribuições,1605,"R$ 904.620,00",,,"R$ 232.416,67","R$ 672.203,33","R$ 0,00","R$ 0,00","R$ 0,00","R$ 84.963,14","R$ 84.963,14","R$ 0,00","R$ 82.946,92","R$ 82.946,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 672.203,33","R$ 167.910,06","R$ 167.910,06"
MAC,454,Subvenções Sociais,1500,"R$ 100.000,00",,,"R$ 100.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
MAC,698,Subvenções Sociais,1500,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,435,Equipamentos e Materiais Permanentes,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,434,Obras e Instalações,1601,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,435,Equipamentos e Materiais Permanentes,1601,"R$ 11.500,00",,,"R$ 11.500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,435,Equipamentos e Materiais Permanentes,1621,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
MAC,455,Obras e Instalações,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
