Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março ,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas
11180111000,Impostos,Propriedade Predial e Territorial Urbana - Principal ,"R$ 6.302,15","R$ 10.404,48","R$ 56.568,95",,,,,,,,,,"R$ 73.275,58","R$ 3.000.000,00"
11180112000,Impostos,Propriedade Predial e Territorial Urbana - Multas e Juros ,"R$ 217,52","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 217,52","R$ 1.000,00"
11180113000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa ,"R$ 8.804,17","R$ 12.156,31","R$ 15.957,40",,,,,,,,,,"R$ 36.917,88","R$ 250.000,00"
11180114000,Impostos,Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros ,"R$ 2.603,16","R$ 4.530,78","R$ 4.377,61",,,,,,,,,,"R$ 11.511,55","R$ 60.000,00"
11180141000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal ,"R$ 144.403,87","R$ 72.454,00","R$ 38.353,23",,,,,,,,,,"R$ 255.211,10","R$ 900.000,00"
11180142000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 1.000,00"
11180143000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 500,00"
11180144000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 500,00"
11130311000,Impostos,Renda - Retido na Fonte - Trabalho - Principal ,"R$ 140.545,30","R$ 147.177,82","R$ 163.239,14",,,,,,,,,,"R$ 450.962,26","R$ 2.500.000,00"
11130341000,Impostos,Renda - Retido na Fonte - Outros Rendimentos ,"R$ 25.169,14","R$ 26.817,26","R$ 26.269,07",,,,,,,,,,"R$ 78.255,47","R$ 560.000,00"
11180231000,Impostos,Serviços de Qualquer Natureza - Principal ,"R$ 330.403,16","R$ 199.278,85","R$ 259.276,40",,,,,,,,,,"R$ 788.958,41","R$ 2.600.000,00"
11180232000,Impostos,Serviços de Qualquer Natureza - Multas e Juros ,"R$ 3.237,56","R$ 2.345,17","R$ 8.871,57",,,,,,,,,,"R$ 14.454,30","R$ 1.000,00"
11180233000,Impostos, Serviços de Qualquer Natureza - Dívida Ativa ,"R$ 5.055,21","R$ 169,73","R$ 5.371,68",,,,,,,,,,"R$ 10.596,62","R$ 25.000,00"
11180234000,Impostos,Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros ,"R$ 697,28","R$ 45,83","R$ 1.553,09",,,,,,,,,,"R$ 2.296,20","R$ 40.000,00"
17180121000,Cota-Parte ,Fundo de Participação dos Municípios - Cota Mensal - Principal ,"R$ 3.429.655,85","R$ 4.312.104,86","R$ 2.611.240,49",,,,,,,,,,"R$ 10.353.001,20","R$ 41.233.000,00"
17180131000,Cota-Parte ,Fundo de Participação do Municípios – 1% Cota entregue no mês de dezembro - Principal ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 1.750.000,00"
17180141000,Cota-Parte ,Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho e setembro - Principal ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 1.750.000,00"
17180151000,Cota-Parte ,Imposto Sobre a Propriedade Territorial Rural - Principal,"R$ 586,06","R$ 1.242,52","R$ 867,08",,,,,,,,,,"R$ 2.695,66","R$ 140.000,00"
17280111000,Cota-Parte ,ICMS - Principal ,"R$ 1.374.434,59","R$ 1.130.042,99","R$ 1.524.876,74",,,,,,,,,,"R$ 4.029.354,32","R$ 16.000.000,00"
17280121000,Cota-Parte ,IPVA - Principal ,"R$ 815.188,31","R$ 2.103.357,56","R$ 805.527,81",,,,,,,,,,"R$ 3.724.073,68","R$ 4.994.850,00"
17280131000,Cota-Parte ,IPI - Municípios - Principal ,"R$ 16.420,39","R$ 17.231,46","R$ 16.978,11",,,,,,,,,,"R$ 50.629,96","R$ 200.000,00"
