,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Secretaria ,152,Rateio Participação em Consórcio público,1500,"R$ 11.000,00",,,"R$ 752,00","R$ 10.248,00","R$ 854,00","R$ 0,00","R$ 0,00","R$ 854,00","R$ 854,00","R$ 0,00","R$ 854,00","R$ 854,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 10.248,00","R$ 2.562,00","R$ 1.708,00"
Secretaria ,153,Rateio Participação em Consórcio público,1500,"R$ 200.000,00",,,"R$ 40.197,60","R$ 159.802,40","R$ 15.400,20","R$ 0,00","R$ 0,00","R$ 15.400,20","R$ 15.400,20","R$ 0,00","R$ 15.400,20","R$ 15.400,20",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 159.802,40","R$ 46.200,60","R$ 30.800,40"
Secretaria ,154,Rateio Participação em Consórcio público,1500,"R$ 2.000,00",,,"R$ 944,00","R$ 1.056,00","R$ 88,00","R$ 0,00","R$ 0,00","R$ 88,00","R$ 88,00","R$ 0,00","R$ 88,00","R$ 88,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.056,00","R$ 264,00","R$ 176,00"
Secretaria ,155,Subvenções Sociais ,1500,"R$ 150.000,00",,,"R$ 87.333,00","R$ 62.667,00","R$ 6.963,00","R$ 0,00","R$ 0,00","R$ 6.963,00","R$ 6.963,00","R$ 0,00","R$ 6.963,00","R$ 6.963,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 62.667,00","R$ 20.889,00","R$ 13.926,00"
Secretaria ,126,Folha de Pagamento,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria ,127,Folha de Pagamento,1500,"R$ 370.000,00",,,"R$ 315.183,30","R$ 18.140,50","R$ 18.140,50","R$ 18.140,50","R$ 19.205,32","R$ 19.205,32","R$ 19.205,32","R$ 17.470,88","R$ 17.470,88","R$ 17.470,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 54.816,70","R$ 54.816,70","R$ 54.816,70"
Secretaria ,128,Folha de Pagamento,1500,"R$ 45.000,00",,,"R$ 39.710,39","R$ 1.778,59","R$ 1.778,59","R$ 0,00","R$ 1.704,80","R$ 1.704,80","R$ 1.778,59","R$ 1.806,22","R$ 1.806,22","R$ 1.704,80",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 5.289,61","R$ 5.289,61","R$ 3.483,39"
Secretaria ,129,Folha de Pagamento,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria ,130,Folha de Pagamento,1500,"R$ 10.000,00",,,"R$ 441,20","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9.558,80","R$ 9.558,80","R$ 9.558,80",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.558,80","R$ 9.558,80","R$ 9.558,80"
Secretaria ,131,Folha de Pagamento,1500,"R$ 6.000,00",,,"R$ 1.629,89","R$ 1.382,07","R$ 1.382,07","R$ 0,00","R$ 1.531,34","R$ 1.531,34","R$ 1.382,07","R$ 1.456,70","R$ 1.456,70","R$ 1.531,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.370,11","R$ 4.370,11","R$ 2.913,41"
Secretaria ,132,Outros Benefícios Assistenciais do Servidor ou Militar,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria ,133,Folha de Pagamento,1500,"R$ 5.000,00",,,"R$ 4.856,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 96,00","R$ 96,00","R$ 96,00","R$ 48,00","R$ 48,00","R$ 48,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 144,00","R$ 144,00","R$ 144,00"
Secretaria ,134,Materiais de Consumo,1500,"R$ 30.000,00",,,"R$ 20.170,23","R$ 2.826,65","R$ 0,00","R$ 0,00","R$ 3.622,00","R$ 3.229,30","R$ 572,40","R$ 3.381,12","R$ 5.707,61","R$ 5.654,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.829,77","R$ 8.936,91","R$ 6.226,76"
Secretaria ,135,Serviços de Terceiro PF ,1500,"R$ 15.000,00",,,"R$ 11.109,60","R$ 1.296,80","R$ 1.296,80","R$ 1.296,80","R$ 1.296,80","R$ 1.296,80","R$ 1.296,80","R$ 1.296,80","R$ 1.296,80","R$ 1.296,80",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 3.890,40","R$ 3.890,40","R$ 3.890,40"
Secretaria ,136,Serviços de Terceiros PJ,1500,"R$ 50.000,00",,,"R$ 32.200,00","R$ 6.118,75","R$ 5.562,50","R$ 0,00","R$ 5.562,50","R$ 5.562,50","R$ 5.562,50","R$ 6.118,75","R$ 6.118,75","R$ 5.562,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 17.800,00","R$ 17.243,75","R$ 11.125,00"
Secretaria ,137,Serviços de Tecnologia da Informação e Comunicação,1500,"R$ 15.000,00",,,"R$ 6.279,12","R$ 1.453,48","R$ 726,74","R$ 0,00","R$ 0,00","R$ 0,00","R$ 726,74","R$ 7.267,40","R$ 1.453,48","R$ 726,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 8.720,88","R$ 2.180,22","R$ 1.453,48"
Secretaria ,138,Sentenças Judiciais,1500,"R$ 50.000,00",,,"R$ 50.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria ,139,Equipamentos e Materiais Permanentes ,1500,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária ,140,Folha de Pagamento,1500,"R$ 250.000,00",,,"R$ 212.103,04","R$ 12.588,17","R$ 12.588,17","R$ 11.041,76","R$ 12.772,86","R$ 12.772,86","R$ 12.463,39","R$ 12.535,93","R$ 12.535,93","R$ 12.595,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 37.896,96","R$ 37.896,96","R$ 36.100,49"
Atenção Primária ,141,Folha de Pagamento,1500,"R$ 1.000.000,00",,,"R$ 752.247,80","R$ 75.387,18","R$ 75.387,18","R$ 75.387,18","R$ 83.016,79","R$ 83.016,79","R$ 83.016,79","R$ 89.348,23","R$ 89.348,23","R$ 89.348,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 247.752,20","R$ 247.752,20","R$ 247.752,20"
Atenção Primária ,143,Folha de Pagamento,1500,"R$ 5.000,00","R$ 3.387,69",,"R$ 0,00","R$ 2.848,86","R$ 2.848,86","R$ 0,00","R$ 3.137,23","R$ 3.137,23","R$ 2.848,86","R$ 2.401,60","R$ 2.401,60","R$ 3.137,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 8.387,69","R$ 8.387,69","R$ 5.986,09"
Atenção Primária ,144,Folha de Pagamento,1500,"R$ 11.000,00",,,"R$ 5.124,71","R$ 2.249,38","R$ 2.249,38","R$ 2.249,38","R$ 1.142,20","R$ 1.142,20","R$ 1.142,20","R$ 2.483,71","R$ 2.483,71","R$ 2.483,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 5.875,29","R$ 5.875,29","R$ 5.875,29"
Atenção Primária ,145,Folha de Pagamento,1500,"R$ 50.000,00",,,"R$ 33.888,70","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.227,35","R$ 4.227,35","R$ 4.227,35","R$ 11.883,95","R$ 11.883,95","R$ 11.883,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 16.111,30","R$ 16.111,30","R$ 16.111,30"
Atenção Primária ,146,Folha de Pagamento,1500,"R$ 150.000,00",,,"R$ 106.289,37","R$ 13.190,86","R$ 13.190,86","R$ 0,00","R$ 14.140,16","R$ 14.140,16","R$ 13.190,86","R$ 16.379,61","R$ 16.379,61","R$ 14.315,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 43.710,63","R$ 43.710,63","R$ 27.506,08"
Atenção Primária ,147,Outros Benefícios Assistenciais do Servidor ou Militar,1500,"R$ 5.000,00",,"R$ 986,09","R$ 4.013,91","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária ,148,Folha de Pagamento,1500,"R$ 5.000,00",,,"R$ 4.370,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 486,00","R$ 486,00","R$ 486,00","R$ 144,00","R$ 144,00","R$ 144,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 630,00","R$ 630,00","R$ 630,00"
Atenção Primária ,149,Materiais de Consumo,1500,"R$ 50.000,00",,"R$ 2.401,60","R$ 34.698,40","R$ 12.900,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 619,21","R$ 619,21","R$ 0,00","R$ 1.045,94","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 12.900,00","R$ 1.665,15","R$ 619,21"
Atenção Primária ,150,Serviços de Terceiros PJ,1500,"R$ 50.000,00",,,"R$ 43.560,00","R$ 115,00","R$ 0,00","R$ 0,00","R$ 2.070,00","R$ 2.070,00","R$ 2.070,00","R$ 4.255,00","R$ 4.255,00","R$ 4.255,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.440,00","R$ 6.325,00","R$ 6.325,00"
Atenção Primária ,151,Equipamentos e Materiais Permanentes ,1500,"R$ 20.000,00",,,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
MAC,156,Folha de Pagamento,1500,"R$ 150.000,00",,,"R$ 76.259,10","R$ 26.062,15","R$ 26.062,15","R$ 22.598,29","R$ 23.426,42","R$ 23.426,42","R$ 23.430,74","R$ 24.252,33","R$ 24.252,33","R$ 24.307,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 73.740,90","R$ 73.740,90","R$ 70.336,22"
MAC,158,Folha de Pagamento,1500,"R$ 900.000,00",,,"R$ 708.998,39","R$ 62.470,05","R$ 62.470,05","R$ 62.470,05","R$ 63.593,68","R$ 63.593,68","R$ 63.593,68","R$ 64.937,88","R$ 64.937,88","R$ 64.937,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 191.001,61","R$ 191.001,61","R$ 191.001,61"
MAC,160,Folha de Pagamento,1500,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
MAC,161,Folha de Pagamento,1500,"R$ 55.000,00",,,"R$ 31.686,98","R$ 3.497,00","R$ 3.497,00","R$ 3.497,00","R$ 13.616,91","R$ 13.616,91","R$ 13.616,91","R$ 6.199,11","R$ 6.199,11","R$ 6.199,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 23.313,02","R$ 23.313,02","R$ 23.313,02"
MAC,162,Folha de Pagamento,1500,"R$ 12.000,00",,,"R$ 12.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
MAC,163,Folha de Pagamento,1500,"R$ 140.000,00",,,"R$ 109.663,97","R$ 9.901,49","R$ 9.901,49","R$ 0,00","R$ 10.292,61","R$ 10.292,61","R$ 10.102,21","R$ 10.141,93","R$ 10.141,93","R$ 10.303,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 30.336,03","R$ 30.336,03","R$ 20.405,66"
