Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março ,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas
11180111000,Impostos,Propriedade Predial e Territorial Urbana - Principal ,,,,,,,,,,,,,"R$ 0,00",
11180112000,Impostos,Propriedade Predial e Territorial Urbana - Multas e Juros ,,,,,,,,,,,,,"R$ 0,00",
11180113000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa ,,,,,,,,,,,,,"R$ 0,00",
11180114000,Impostos,Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros ,,,,,,,,,,,,,"R$ 0,00",
11180141000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal ,,,,,,,,,,,,,"R$ 0,00",
11180142000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros ,,,,,,,,,,,,,"R$ 0,00",
11180143000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,,,,,,,,,,,,,"R$ 0,00",
11180144000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,,,,,,,,,,,,,"R$ 0,00",
11130311000,Impostos,Renda - Retido na Fonte - Trabalho - Principal ,,,,,,,,,,,,,"R$ 0,00",
11130341000,Impostos,Renda - Retido na Fonte - Outros Rendimentos ,,,,,,,,,,,,,"R$ 0,00",
11180231000,Impostos,Serviços de Qualquer Natureza - Principal ,,,,,,,,,,,,,"R$ 0,00",
11180232000,Impostos,Serviços de Qualquer Natureza - Multas e Juros ,,,,,,,,,,,,,"R$ 0,00",
11180233000,Impostos, Serviços de Qualquer Natureza - Dívida Ativa ,,,,,,,,,,,,,"R$ 0,00",
11180234000,Impostos,Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros ,,,,,,,,,,,,,"R$ 0,00",
17180121000,Cota-Parte ,Fundo de Participação dos Municípios - Cota Mensal - Principal ,,,,,,,,,,,,,"R$ 0,00",
17180131000,Cota-Parte ,Fundo de Participação do Municípios – 1% Cota entregue no mês de dezembro - Principal ,,,,,,,,,,,,,"R$ 0,00",
17180141000,Cota-Parte ,Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho e setembro - Principal ,,,,,,,,,,,,,"R$ 0,00",
17180151000,Cota-Parte ,Imposto Sobre a Propriedade Territorial Rural - Principal,,,,,,,,,,,,,"R$ 0,00",
17280111000,Cota-Parte ,ICMS - Principal ,,,,,,,,,,,,,"R$ 0,00",
17280121000,Cota-Parte ,IPVA - Principal ,,,,,,,,,,,,,"R$ 0,00",
17280131000,Cota-Parte ,IPI - Municípios - Principal ,,,,,,,,,,,,,"R$ 0,00",
