,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Atenção Primária,468,Obras e Instalações,1500,"R$ 42.350,00",,,"R$ 42.350,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,469,Obras e Instalações,1600,"R$ 129.800,00",,"R$ 105.000,00","R$ 24.800,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,470,Obras e Instalações,1621,"R$ 5.500,00","R$ 20.000,00","R$ 5.400,00","R$ 20.100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,471,Obras e Instalações,1631,"R$ 161.700,00",,,"R$ 161.700,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,472,Equipamentos e Materiais Permanentes,1500,"R$ 61.600,00",,,"R$ 61.600,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,473,Equipamentos e Materiais Permanentes,1600,"R$ 22.000,00",,,"R$ 8.122,42","R$ 0,00","R$ 0,00","R$ 0,00","R$ 13.877,58","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8.677,98","R$ 8.677,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 13.877,58","R$ 8.677,98","R$ 8.677,98"
Atenção Primária,474,Equipamentos e Materiais Permanentes,1621,"R$ 13.552,00",,"R$ 2.000,00","R$ 5.448,81","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 6.103,19","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.103,19","R$ 0,00","R$ 0,00"
Atenção Primária,475,Equipamentos e Materiais Permanentes,1631,"R$ 143.000,00",,,"R$ 143.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,476,Contratação por tempo Determinado,1500,"R$ 110.000,00",,"R$ 2.000,00","R$ 22.363,48","R$ 28.951,77","R$ 28.951,77","R$ 28.951,77","R$ 25.121,43","R$ 25.121,43","R$ 25.121,43","R$ 31.563,32","R$ 31.563,32","R$ 31.563,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 85.636,52","R$ 85.636,52","R$ 85.636,52"
