,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Secretaria,140,Materiais de Consumo,1500,"R$ 86.632,42",,,"R$ 85.203,77","R$ 1.428,65","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.428,65","R$ 1.428,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.428,65","R$ 1.428,65","R$ 1.428,65"
Secretaria,141,Serviços de Terceiros PJ,1500,"R$ 10.400,00",,,"R$ 10.400,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,141,Serviços de Terceiros PJ,1600,"R$ 5.000,00",,"R$ 900,00","R$ 4.100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,141,Serviços de Terceiros PJ,1621,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,142,Equipamentos e Materiais Permanentes,1500,"R$ 5.500,00",,,"R$ 5.500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,142,Equipamentos e Materiais Permanentes,1601,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,142,Equipamentos e Materiais Permanentes,1621,"R$ 2.500,00",,,"R$ 2.500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,143,Equipamentos e Materiais Permanentes,1500,"R$ 118.000,00",,,"R$ 108.200,04","R$ 9.799,96","R$ 9.799,96","R$ 9.799,96","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.799,96","R$ 9.799,96","R$ 9.799,96"
Secretaria,143,Equipamentos e Materiais Permanentes,1601,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,143,Equipamentos e Materiais Permanentes,1621,"R$ 100.000,00",,,"R$ 100.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,143,Equipamentos e Materiais Permanentes,1706,"R$ 0,00","R$ 77.000,00",,"R$ 5,00","R$ 76.995,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 76.995,00","R$ 76.995,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 76.995,00","R$ 76.995,00","R$ 76.995,00"
Secretaria,144,Contratação por tempo Determinado,1500,"R$ 50.000,00",,,"R$ 44.589,46","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.473,39","R$ 2.473,39","R$ 2.473,39","R$ 2.937,15","R$ 2.937,15","R$ 2.937,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 5.410,54","R$ 5.410,54","R$ 5.410,54"
Secretaria,145,Vencimentos e Vantagens Fixas - Pessoal Civil,1500,"R$ 1.000.000,00",,,"R$ 784.299,73","R$ 68.049,09","R$ 68.049,09","R$ 68.049,09","R$ 80.332,21","R$ 80.332,21","R$ 80.332,21","R$ 67.318,97","R$ 67.318,97","R$ 67.318,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 215.700,27","R$ 215.700,27","R$ 215.700,27"
Secretaria,145,Vencimentos e Vantagens Fixas - Pessoal Civil,1600,"R$ 50.000,00",,,"R$ 50.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,146,Obrigações Patronais,1500,"R$ 480.000,00",,,"R$ 379.482,42","R$ 46.124,94","R$ 46.124,94","R$ 0,00","R$ 27.061,75","R$ 27.061,75","R$ 46.248,92","R$ 27.330,89","R$ 27.330,89","R$ 26.937,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 100.517,58","R$ 100.517,58","R$ 73.186,69"
Secretaria,146,Obrigações Patronais,1600,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,147,Indenizações e Restituições Trabalhistas,1500,"R$ 26.500,00",,,"R$ 13.861,92","R$ 9.606,96","R$ 9.606,96","R$ 9.606,96","R$ 829,99","R$ 829,99","R$ 829,99","R$ 2.201,13","R$ 2.201,13","R$ 2.201,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 12.638,08","R$ 12.638,08","R$ 12.638,08"
Secretaria,148,Materiais de Consumo,1500,"R$ 0,00","R$ 400.000,00",,"R$ 307.600,61","R$ 13.367,04","R$ 0,00","R$ 0,00","R$ 14.934,35","R$ 0,00","R$ 0,00","R$ 64.098,00","R$ 4.197,60","R$ 4.197,60",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 92.399,39","R$ 4.197,60","R$ 4.197,60"
Secretaria,148,Materiais de Consumo,1600,"R$ 50.000,00",,,"R$ 49.433,70","R$ 566,30","R$ 0,00","R$ 0,00","R$ 0,00","R$ 566,30","R$ 566,30","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 566,30","R$ 566,30","R$ 566,30"
Secretaria,148,Materiais de Consumo,1621,"R$ 300.000,00",,"R$ 190.000,00","R$ 110.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,148,Materiais de Consumo,1709,"R$ 800.000,00",,,"R$ 496.169,26","R$ 303.830,74","R$ 31.245,42","R$ 23.501,86","R$ 0,00","R$ 46.312,74","R$ 49.672,37","R$ 0,00","R$ 47.361,41","R$ 45.025,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 303.830,74","R$ 124.919,57","R$ 118.200,00"
Secretaria,149,Passagens e Despesas com Locomoção,1500,"R$ 300.000,00",,,"R$ 189.647,55","R$ 52.437,34","R$ 21.977,80","R$ 21.977,80","R$ 24.926,80","R$ 22.097,89","R$ 22.097,89","R$ 32.988,31","R$ 25.927,47","R$ 25.927,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 110.352,45","R$ 70.003,16","R$ 70.003,16"
Secretaria,150,Serviços de Terceiros PF,1500,"R$ 30.000,00",,,"R$ 25.120,17","R$ 4.879,83","R$ 4.879,83","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.626,61","R$ 0,00","R$ 0,00","R$ 1.626,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.879,83","R$ 4.879,83","R$ 3.253,22"
Secretaria,151,Serviços de Terceiros PJ,1500,"R$ 155.000,00",,,"R$ 106.061,00","R$ 48.939,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.091,00","R$ 2.091,00","R$ 0,00","R$ 5.178,06","R$ 5.178,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 48.939,00","R$ 7.269,06","R$ 7.269,06"
Secretaria,151,Serviços de Terceiros PJ,1600,"R$ 60.000,00",,,"R$ 60.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,152,Serviços de Tecnologia da Informação e Comunicação,1500,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,153,Auxílio-alimentação,1500,"R$ 1.200.000,00",,"R$ 400.000,00","R$ 403.750,00","R$ 120.000,00","R$ 120.000,00","R$ 120.000,00","R$ 137.700,00","R$ 137.700,00","R$ 137.700,00","R$ 138.550,00","R$ 138.550,00","R$ 138.550,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 396.250,00","R$ 396.250,00","R$ 396.250,00"
Secretaria,154,Materiais de Consumo,1600,"R$ 15.000,00",,,"R$ 15.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,154,Materiais de Consumo,1621,"R$ 15.000,00",,,"R$ 15.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,155,Serviços de Terceiros PJ,1500,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,155,Serviços de Terceiros PJ,1621,"R$ 20.000,00",,,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,156,Contribuições,1500,"R$ 45.000,00",,,"R$ 45.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,157,Rateio Participação em Consórcio público,1500,"R$ 350.000,00",,,"R$ 299.294,60","R$ 50.705,40","R$ 0,00","R$ 0,00","R$ 0,00","R$ 25.352,70","R$ 25.352,70","R$ 0,00","R$ 25.352,70","R$ 25.352,70",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 50.705,40","R$ 50.705,40","R$ 50.705,40"
Atenção Primária,158,Obras e Instalações,1500,"R$ 91.200,00",,,"R$ 91.200,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,158,Obras e Instalações,1601,"R$ 8.800,00",,"R$ 5.000,00","R$ 3.800,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,159,Equipamentos e Materiais Permanentes,1621,"R$ 100.000,00",,,"R$ 87.238,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12.762,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12.762,00","R$ 12.762,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 12.762,00","R$ 12.762,00","R$ 12.762,00"
Atenção Primária,159,Equipamentos e Materiais Permanentes,1631,"R$ 318.772,00",,,"R$ 318.772,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,159,Equipamentos e Materiais Permanentes,1632,"R$ 600.000,00",,,"R$ 600.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,159,Equipamentos e Materiais Permanentes,2621,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,160,Contratação por tempo Determinado,1500,"R$ 600.000,00",,,"R$ 460.996,06","R$ 40.474,28","R$ 40.474,28","R$ 40.474,28","R$ 68.068,73","R$ 68.068,73","R$ 68.068,73","R$ 30.460,93","R$ 30.460,93","R$ 30.460,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 139.003,94","R$ 139.003,94","R$ 139.003,94"
Atenção Primária,160,Contratação por tempo Determinado,1600,"R$ 500.000,00",,,"R$ 352.372,81","R$ 49.645,60","R$ 49.645,60","R$ 49.645,60","R$ 35.640,02","R$ 35.640,02","R$ 35.640,02","R$ 62.341,57","R$ 62.341,57","R$ 62.341,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 147.627,19","R$ 147.627,19","R$ 147.627,19"
Atenção Primária,160,Contratação por tempo Determinado,2621,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,161,Vencimentos e Vantagens Fixas - Pessoal Civil,1500,"R$ 1.500.000,00",,,"R$ 1.114.845,30","R$ 140.700,85","R$ 140.700,85","R$ 140.700,85","R$ 109.253,38","R$ 109.253,38","R$ 109.253,38","R$ 135.200,47","R$ 135.200,47","R$ 135.200,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 385.154,70","R$ 385.154,70","R$ 385.154,70"
