,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Secretaria,550,Equipamentos e Materiais Permanentes,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,551,Equipamentos e Materiais Permanentes,,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,552,Equipamentos e Materiais Permanentes,1621,"R$ 10.000,00",,,"-R$ 2.338,99","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12.338,99","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.791,00","R$ 3.255,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 12.338,99","R$ 4.791,00","R$ 3.255,00"
Secretaria,553,Contratação por tempo Determinado,1500,"R$ 3.000,00",,,"R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,554,Vencimentos e Vantagens Fixas - Pessoal Civil,1500,"R$ 90.000,00",,,"R$ 70.331,07","R$ 6.556,31","R$ 6.556,31","R$ 6.556,31","R$ 6.556,31","R$ 6.556,31","R$ 6.556,31","R$ 6.556,31","R$ 6.556,31","R$ 6.556,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 19.668,93","R$ 19.668,93","R$ 19.668,93"
Secretaria,555,Outras Despesas Variáveis - Pessoal Civil,1500,"R$ 3.000,00",,,"R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,556,Sentenças Judiciais,1500,"R$ 3.000,00",,,"R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,557,Despesas de Exercícios Anteriores,,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,558,Despesas de Exercícios Anteriores,1500,"R$ 2.000,00","R$ 6.183,61",,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8.183,61","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 8.183,61","R$ 0,00","R$ 0,00"
Secretaria,559,Despesas de Exercícios Anteriores,,"R$ 26.000,00",,,"R$ 26.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,560,Indenizações e Restituições Trabalhistas,,"R$ 50.000,00",,,"R$ 30.480,23","R$ 0,00","R$ 0,00","R$ 0,00","R$ 19.519,77","R$ 19.519,77","R$ 19.519,77","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 19.519,77","R$ 19.519,77","R$ 19.519,77"
Secretaria,561,Indenizações e Restituições Trabalhistas,1500,"R$ 37.000,00",,,"R$ 256,64","R$ 7.552,07","R$ 7.552,07","R$ 7.552,07","R$ 21.218,78","R$ 21.218,78","R$ 21.218,78","R$ 7.972,51","R$ 7.972,51","R$ 7.972,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 36.743,36","R$ 36.743,36","R$ 36.743,36"
Secretaria,562,Indenizações e Restituições Trabalhistas,1631,"R$ 2.000,00",,,"R$ 1.189,51","R$ 0,00","R$ 0,00","R$ 0,00","R$ 810,49","R$ 810,49","R$ 810,49","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 810,49","R$ 810,49","R$ 810,49"
Secretaria,563,Indenizações e Restituições Trabalhistas,,"R$ 12.000,00",,,"R$ 10.730,87","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.269,13","R$ 1.269,13","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.080,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.269,13","R$ 1.269,13","R$ 1.080,30"
Secretaria,564,Indenizações e Restituições Trabalhistas,1621,"R$ 12.000,00",,,"R$ 12.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,565,Diárias - Pessoal Civil,1500,"R$ 8.000,00",,,"R$ 6.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.000,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.000,00","R$ 0,00","R$ 0,00"
Secretaria,566,Materiais de Consumo,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,567,Serviços de Terceiro PF,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,568,Serviços de Terceiros PJ,1500,"R$ 15.000,00",,"R$ 10.000,00","R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,569,Auxílio-Alimentação,1500,"R$ 3.000,00",,,"R$ 2.160,00","R$ 260,65","R$ 260,65","R$ 260,65","R$ 260,65","R$ 260,65","R$ 260,65","R$ 318,70","R$ 318,70","R$ 318,70",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 840,00","R$ 840,00","R$ 840,00"
Secretaria,570,Obrigações Tributárias e Contributivas,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,571,Materiais de Consumo,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,572,Serviços de Terceiro PF,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,573,Serviços de Terceiros PJ,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,574,Equipamentos e Materiais Permanentes,1500,"R$ 3.000,00",,,"R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,575,Outras Despesas de Pessoal decorrentes de Contratos,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,1080,Outras Despesas de Pessoal decorrentes de Contratos,1621,"R$ 0,00","R$ 4.880,78",,"R$ 31,15","R$ 2.030,78","R$ 0,00","R$ 0,00","R$ 2.818,85","R$ 4.849,63","R$ 2.030,78","R$ 0,00","R$ 0,00","R$ 2.818,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.849,63","R$ 4.849,63","R$ 4.849,63"
